Tag,Acceptance rate
Binary Search,[0.419852]
Heap (Priority Queue),[0.46188478]
Prefix Sum,[0.46188478]
Greedy,[0.50036653]
String,[0.51530041]
Sliding Window,[0.51935923]
Rolling Hash,[0.53774371]
Stack,[0.54116875]
Monotonic Stack,[0.5668729]
Hash Table,[0.56916058]
Dynamic Programming,[0.58416058]
Queue,[0.58791784]
Counting,[0.58791784]
Backtracking,[0.58791784]
Depth-First Search,[0.58791784]
Combinatorics,[0.59274091]
Tree,[0.59702614]
Binary Tree,[0.59702614]
Breadth-First Search,[0.59702614]
Linked List,[0.60159835]
Design,[0.60159835]
Array,[0.60230858]
Trie,[0.62652015]
Suffix Array,[0.64179301]
Math,[0.64279437]
Two Pointers,[0.66516058]
Hash Function,[0.69755683]
Sorting,[0.7882267]
