Tag,Acceptance rate
String,[0.36677462]
Dynamic Programming,[0.36677462]
Linked List,[0.39740589]
Two Pointers,[0.39740589]
Sorting,[0.39750823]
Hash Table,[0.42793484]
Array,[0.42803717]
