Tag,Acceptance rate
Tree,[-8.98945529e+12]
Queue,[-4.53855991e+12]
Binary Search Tree,[-1.36364339e+12]
Randomized,[-3.30757303e+11]
Hash Function,[-3.30757303e+11]
Bitmask,[0.3671875]
Trie,[0.39453125]
Sliding Window,[0.46875]
Union Find,[0.48046875]
Database,[0.484375]
Greedy,[0.49609375]
Ordered Set,[0.49609375]
Topological Sort,[0.49609375]
Math,[0.50390625]
Depth-First Search,[0.51171875]
Memoization,[0.51171875]
String,[0.515625]
Sorting,[0.51953125]
Recursion,[0.51953125]
Binary Search,[0.53125]
Divide and Conquer,[0.53125]
Merge Sort,[0.53125]
Array,[0.54296875]
Two Pointers,[0.546875]
Monotonic Stack,[0.55078125]
Bucket Sort,[0.55078125]
String Matching,[0.55078125]
Dynamic Programming,[0.5625]
Simulation,[0.57421875]
Linked List,[0.57421875]
Breadth-First Search,[0.5859375]
Bit Manipulation,[0.59765625]
Hash Table,[0.6015625]
Stack,[0.609375]
Matrix,[0.61328125]
Heap (Priority Queue),[0.6328125]
Graph,[0.64453125]
Enumeration,[0.66015625]
Quickselect,[0.6640625]
Combinatorics,[0.66796875]
Backtracking,[0.671875]
Prefix Sum,[0.6953125]
Counting,[0.71875]
Number Theory,[0.87109375]
Design,[3.30757303e+11]
Iterator,[1.03288608e+12]
Doubly-Linked List,[3.54758015e+12]
Monotonic Queue,[4.53855991e+12]
Binary Tree,[8.98945529e+12]
