Tag,Acceptance rate
Hash Function,[-3.68068069e+11]
Probability and Statistics,[-1.58041835e+11]
Interactive,[-208.6171875]
Ordered Set,[0.19873047]
Binary Search Tree,[0.27490234]
Binary Indexed Tree,[0.28417969]
Trie,[0.31054688]
Sliding Window,[0.33251953]
Graph,[0.3359375]
Binary Search,[0.34765625]
Math,[0.35693359]
Greedy,[0.359375]
String,[0.36767578]
Breadth-First Search,[0.36914062]
Memoization,[0.37011719]
Design,[0.37060547]
Stack,[0.37695312]
Heap (Priority Queue),[0.37988281]
String Matching,[0.38720703]
Divide and Conquer,[0.38916016]
Enumeration,[0.39257812]
Linked List,[0.40185547]
Binary Tree,[0.40917969]
Two Pointers,[0.41113281]
Sorting,[0.41357422]
Array,[0.43017578]
Dynamic Programming,[0.43212891]
Bitmask,[0.43212891]
Number Theory,[0.43652344]
Geometry,[0.43847656]
Union Find,[0.44091797]
Hash Table,[0.44189453]
Randomized,[0.44189453]
Doubly-Linked List,[0.44238281]
Matrix,[0.44824219]
Bit Manipulation,[0.45458984]
Queue,[0.45654297]
Tree,[0.45800781]
Monotonic Queue,[0.46337891]
Iterator,[0.46533203]
Simulation,[0.46923828]
Counting,[0.46923828]
Shortest Path,[0.47167969]
Depth-First Search,[0.47265625]
Topological Sort,[0.47753906]
Quickselect,[0.47851562]
Recursion,[0.48193359]
Combinatorics,[0.48779297]
Suffix Array,[0.48925781]
Prefix Sum,[0.49023438]
Merge Sort,[0.49560547]
Bucket Sort,[0.52783203]
Database,[0.53417969]
Backtracking,[0.55322266]
Monotonic Stack,[0.55761719]
Data Stream,[0.63378906]
Segment Tree,[0.74267578]
Eulerian Circuit,[6.05371094]
Rejection Sampling,[1.58041835e+11]
Rolling Hash,[3.68068069e+11]
