Tag,Acceptance rate
Ordered Set,[0.26878192]
Doubly-Linked List,[0.27038088]
Hash Function,[0.32387408]
Sliding Window,[0.34792053]
String Matching,[0.36063816]
Interactive,[0.3794472]
Counting Sort,[0.380289]
Queue,[0.38658414]
Binary Indexed Tree,[0.39379138]
Topological Sort,[0.40669153]
Memoization,[0.40868898]
Geometry,[0.40876834]
Recursion,[0.41246118]
Heap (Priority Queue),[0.41309081]
String,[0.41950242]
Two Pointers,[0.42233649]
Binary Search,[0.42490573]
Enumeration,[0.42726681]
Math,[0.42863208]
Binary Tree,[0.42918675]
Breadth-First Search,[0.42974399]
Merge Sort,[0.43154189]
Database,[0.43401513]
Array,[0.43454704]
Radix Sort,[0.43473557]
Shortest Path,[0.43841114]
Greedy,[0.43902305]
Graph,[0.4414386]
Number Theory,[0.4437167]
Hash Table,[0.44836178]
Stack,[0.45467171]
Dynamic Programming,[0.45576815]
Game Theory,[0.45828937]
Eulerian Circuit,[0.45828937]
Binary Search Tree,[0.46062398]
Bit Manipulation,[0.4634221]
Prefix Sum,[0.46782778]
Trie,[0.47354966]
Sorting,[0.47840137]
Counting,[0.48111897]
Randomized,[0.48185511]
Monotonic Stack,[0.48546667]
Bitmask,[0.48646484]
Union Find,[0.48675856]
Design,[0.48741359]
Tree,[0.49320605]
Simulation,[0.4952053]
Minimum Spanning Tree,[0.49578746]
Depth-First Search,[0.49670017]
Matrix,[0.49682425]
Suffix Array,[0.50334129]
Rolling Hash,[0.50334129]
Data Stream,[0.50517446]
Linked List,[0.51107605]
Divide and Conquer,[0.51176988]
Iterator,[0.52230867]
Quickselect,[0.53068314]
Bucket Sort,[0.55830721]
Backtracking,[0.59400208]
Combinatorics,[0.59900523]
Segment Tree,[0.63849373]
Monotonic Queue,[0.70885491]
