Tag,Acceptance rate
Linked List,[0.46172175]
Doubly-Linked List,[0.46172175]
Sorting,[0.48616833]
Math,[0.49055726]
Prefix Sum,[0.49055726]
Randomized,[0.49055726]
Array,[0.49162721]
Binary Search,[0.4957648]
Trie,[0.49647118]
Hash Table,[0.49802767]
Design,[0.49816987]
String,[0.50167871]
Divide and Conquer,[0.52547271]
Quickselect,[0.52547271]
Heap (Priority Queue),[0.52652114]
Bucket Sort,[0.52652114]
Counting,[0.52652114]
Stack,[0.52666334]
Tree,[0.52666334]
Depth-First Search,[0.52666334]
Queue,[0.52666334]
Iterator,[0.52666334]
