Tag,Acceptance rate
Doubly-Linked List,[0.18260526]
Greedy,[0.23938099]
Eulerian Circuit,[0.31131841]
Binary Search Tree,[0.325451]
Binary Tree,[0.34103366]
Union Find,[0.34841947]
Math,[0.36974087]
Counting,[0.37521592]
String,[0.38165779]
Divide and Conquer,[0.40946389]
Breadth-First Search,[0.42973802]
Matrix,[0.44405435]
Bucket Sort,[0.45023023]
Design,[0.45067725]
Sorting,[0.45576917]
Graph,[0.4681326]
Topological Sort,[0.46850411]
Sliding Window,[0.47458073]
Ordered Set,[0.48651353]
Prefix Sum,[0.48651353]
Binary Search,[0.4870207]
Queue,[0.50211722]
Monotonic Stack,[0.50211722]
Randomized,[0.50211722]
String Matching,[0.50211722]
Hash Function,[0.50211722]
Monotonic Queue,[0.50211722]
Array,[0.50437065]
Interactive,[0.53369082]
Trie,[0.53411501]
Backtracking,[0.53859208]
Stack,[0.5448152]
Recursion,[0.54939976]
Two Pointers,[0.56288226]
Linked List,[0.61207323]
Dynamic Programming,[0.62350621]
Bit Manipulation,[0.62735577]
Depth-First Search,[0.66040424]
Hash Table,[0.66101933]
Shortest Path,[0.69254452]
Heap (Priority Queue),[0.71071928]
Tree,[0.87948617]
