Tag,Acceptance rate
Hash Function,[-1556812.45947266]
Bucket Sort,[0.24584961]
Bit Manipulation,[0.26416016]
Topological Sort,[0.30834961]
Queue,[0.31835938]
Memoization,[0.32275391]
Doubly-Linked List,[0.3293457]
Binary Tree,[0.33276367]
Simulation,[0.34692383]
Heap (Priority Queue),[0.34790039]
Math,[0.35180664]
Sorting,[0.35546875]
Prefix Sum,[0.3605957]
Union Find,[0.37475586]
Linked List,[0.37744141]
Dynamic Programming,[0.38256836]
Sliding Window,[0.38256836]
Trie,[0.38330078]
Graph,[0.38378906]
Binary Search Tree,[0.38623047]
Eulerian Circuit,[0.39038086]
Binary Search,[0.39550781]
String,[0.3984375]
Design,[0.40087891]
Divide and Conquer,[0.41113281]
Binary Indexed Tree,[0.41357422]
Depth-First Search,[0.41601562]
Breadth-First Search,[0.41772461]
Counting,[0.41918945]
Hash Table,[0.42041016]
Greedy,[0.42163086]
Geometry,[0.4230957]
Recursion,[0.42553711]
Two Pointers,[0.43066406]
Matrix,[0.43286133]
Iterator,[0.43554688]
Array,[0.43823242]
Randomized,[0.43969727]
Stack,[0.44091797]
Bitmask,[0.44726562]
Backtracking,[0.45068359]
Interactive,[0.48681641]
Reservoir Sampling,[0.49316406]
Monotonic Queue,[0.50683594]
Monotonic Stack,[0.5234375]
Merge Sort,[0.53271484]
Tree,[0.54296875]
Data Stream,[0.57250977]
Database,[0.57397461]
Quickselect,[0.61743164]
Combinatorics,[0.63476562]
