Tag,Acceptance rate
Math,[0.33175204]
Trie,[0.43459667]
Backtracking,[0.43459667]
Matrix,[0.43459667]
Recursion,[0.45990672]
Heap (Priority Queue),[0.46177407]
Shortest Path,[0.46177407]
String Matching,[0.46609302]
Dynamic Programming,[0.47247247]
Depth-First Search,[0.48227841]
Breadth-First Search,[0.48227841]
Design,[0.49365877]
Queue,[0.49365877]
Monotonic Queue,[0.49365877]
Binary Search,[0.49365877]
Sorting,[0.49365877]
Union Find,[0.49365877]
String,[0.50065877]
Tree,[0.51416311]
Binary Tree,[0.51416311]
Hash Table,[0.52782938]
Sliding Window,[0.52782938]
Array,[0.5321863]
Simulation,[0.55298425]
Graph,[0.56071642]
Topological Sort,[0.59260112]
Linked List,[0.61475204]
