Tag,Acceptance rate
Bucket Sort,[0.26260429]
Doubly-Linked List,[0.29997503]
Sliding Window,[0.37659361]
String Matching,[0.39778165]
Memoization,[0.40322691]
Greedy,[0.41818272]
Binary Search Tree,[0.41846023]
Depth-First Search,[0.42530978]
String,[0.43377249]
Matrix,[0.43608729]
Breadth-First Search,[0.45014761]
Hash Function,[0.47428714]
Binary Tree,[0.47613336]
Queue,[0.48476278]
Binary Search,[0.4901906]
Array,[0.49112932]
Data Stream,[0.49200369]
Math,[0.49526374]
Heap (Priority Queue),[0.50165414]
Linked List,[0.50473908]
Stack,[0.51043657]
Geometry,[0.51729306]
Combinatorics,[0.51729306]
Divide and Conquer,[0.53004363]
Sorting,[0.53289495]
Two Pointers,[0.53849426]
Dynamic Programming,[0.5415988]
Ordered Set,[0.54449694]
Recursion,[0.55192044]
Trie,[0.55925601]
Graph,[0.56729306]
Hash Table,[0.57012993]
Monotonic Stack,[0.58962899]
Topological Sort,[0.59594263]
Simulation,[0.60033747]
Design,[0.60234904]
Database,[0.60422383]
Prefix Sum,[0.6058474]
Merge Sort,[0.61766616]
Bit Manipulation,[0.62032567]
Backtracking,[0.66443839]
Counting,[0.67814496]
Monotonic Queue,[0.68214241]
Quickselect,[0.68476409]
Interactive,[0.69907851]
Tree,[0.76244263]
Union Find,[0.91672593]
