No,Title,Link,Tags,Acceptance,Difficulty,abc Company Frequency,Overall Frequency
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.20%,Easy,0,100%
2667,Create Hello World Function,https://leetcode.com/problems/create-hello-world-function/description/,,81.10%,Easy,0,99.46%
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/description/,[Array][Two Pointers][Sorting],49.40%,Easy,0,98.92%
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,[String][Stack],40.50%,Easy,0,98.38%
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.30%,Medium,0,97.85%
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/description/,[Math],56.00%,Easy,0,97.76%
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/description/,[String][Dynamic Programming],33.70%,Medium,0,97.22%
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,[Array][Dynamic Programming],53.60%,Easy,0,97.18%
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.60%,Medium,0,96.64%
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.90%,Hard,0,96.10%
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,[Array][Sorting],47.20%,Medium,0,95.56%
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/description/,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],54.10%,Medium,0,95.02%
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.70%,Medium,0,94.49%
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/,[String][Stack],67.30%,Medium,0,93.95%
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/,[Linked List][Math][Recursion],42.50%,Medium,0,93.65%
