Tag,Acceptance rate
Sliding Window,[0.29116767]
Trie,[0.32495833]
Monotonic Stack,[0.3409347]
Ordered Set,[0.3409347]
Array,[0.36556004]
Binary Search,[0.41584096]
Number Theory,[0.42858372]
Two Pointers,[0.43583482]
Sorting,[0.43583482]
Greedy,[0.43864694]
Hash Table,[0.44300383]
Prefix Sum,[0.45043505]
Simulation,[0.45463783]
Backtracking,[0.47717462]
Math,[0.52069676]
String,[0.56976973]
Heap (Priority Queue),[0.61390521]
Stack,[0.62710998]
Dynamic Programming,[0.62899433]
