Tag,Acceptance rate
Number Theory,[-0.3979141]
Bit Manipulation,[-0.31718889]
Hash Table,[-0.13381421]
Monotonic Queue,[-0.03463248]
Simulation,[-0.01153697]
Sliding Window,[0.02087603]
Divide and Conquer,[0.0389461]
Monotonic Stack,[0.09115408]
Enumeration,[0.09476683]
Recursion,[0.11168556]
Stack,[0.13293134]
Depth-First Search,[0.13397832]
Breadth-First Search,[0.13397832]
Union Find,[0.13397832]
Two Pointers,[0.14087318]
Math,[0.14618504]
Prefix Sum,[0.15027534]
Hash Function,[0.15043925]
Matrix,[0.17019072]
Queue,[0.18015772]
Binary Search,[0.18730748]
Greedy,[0.21725234]
Doubly-Linked List,[0.22817202]
Dynamic Programming,[0.25680639]
Heap (Priority Queue),[0.27077472]
Linked List,[0.28384444]
Design,[0.28384444]
Array,[0.33628781]
Sorting,[0.36236413]
String,[0.3776868]
Counting,[0.43214923]
