Tag,Acceptance rate
Array,[0.68605634]
Sorting,[0.68605634]
Linked List,[0.68986888]
Design,[0.68986888]
Doubly-Linked List,[0.68986888]
Hash Table,[0.69345791]
Two Pointers,[0.69368141]
String,[0.69727045]
