Tag,Acceptance rate
Bucket Sort,[0.16134725]
Doubly-Linked List,[0.25323625]
Memoization,[0.32824981]
Sliding Window,[0.33143454]
String Matching,[0.35949092]
Binary Search Tree,[0.36337689]
Greedy,[0.37093896]
Matrix,[0.37270737]
Depth-First Search,[0.37326517]
Hash Function,[0.39797728]
Breadth-First Search,[0.40007173]
Ordered Set,[0.403082]
Heap (Priority Queue),[0.40312605]
String,[0.40988749]
Array,[0.46094037]
Binary Search,[0.46387026]
Binary Tree,[0.46455955]
Queue,[0.46583718]
Math,[0.46795149]
Stack,[0.46866709]
Geometry,[0.47428713]
Combinatorics,[0.47428713]
Graph,[0.48216248]
Sorting,[0.49052203]
Linked List,[0.49211604]
Data Stream,[0.49640798]
Divide and Conquer,[0.49758875]
Dynamic Programming,[0.50915055]
Recursion,[0.511149]
Two Pointers,[0.51779298]
Hash Table,[0.52427552]
Trie,[0.52629233]
Monotonic Stack,[0.54023911]
Design,[0.57249592]
Simulation,[0.57663769]
Bit Manipulation,[0.57729115]
Prefix Sum,[0.58710467]
Database,[0.59340508]
Merge Sort,[0.6276338]
Backtracking,[0.64220625]
Topological Sort,[0.64573306]
Interactive,[0.65585482]
Counting,[0.69118826]
Quickselect,[0.70759368]
Tree,[0.72543946]
Monotonic Queue,[0.74584547]
Union Find,[0.92065632]
