Tag,Acceptance rate
Binary Search Tree,[0.11706592]
Randomized,[0.1218267]
Greedy,[0.23121683]
Heap (Priority Queue),[0.24847315]
Dynamic Programming,[0.27699218]
Stack,[0.29406446]
Hash Table,[0.2971417]
Binary Search,[0.3114678]
Queue,[0.31913025]
Data Stream,[0.31913025]
Two Pointers,[0.3195338]
Backtracking,[0.32035703]
Bit Manipulation,[0.32115964]
Sliding Window,[0.3261309]
Graph,[0.32889749]
Eulerian Circuit,[0.32889749]
Union Find,[0.33678495]
Matrix,[0.33678495]
Breadth-First Search,[0.3448697]
Prefix Sum,[0.3553729]
Tree,[0.38048801]
Binary Tree,[0.38048801]
Math,[0.38594026]
Divide and Conquer,[0.39193805]
Merge Sort,[0.39193805]
Depth-First Search,[0.40545639]
String,[0.4128466]
Recursion,[0.41708192]
Array,[0.42098142]
Sorting,[0.43062867]
Linked List,[0.48866294]
Design,[0.54979096]
Monotonic Stack,[0.61282109]
