Tag,Acceptance rate
Union Find,[0.59005495]
Linked List,[0.59859392]
String,[0.59859392]
Stack,[0.59859392]
Design,[0.59859392]
Simulation,[0.59859392]
Doubly-Linked List,[0.59859392]
Hash Table,[0.60022741]
Trie,[0.60022741]
Array,[0.60186089]
Depth-First Search,[0.60186089]
Breadth-First Search,[0.60186089]
Matrix,[0.60186089]
