Tag,Acceptance rate
Doubly-Linked List,[-0.0191163]
Recursion,[0.27401861]
Greedy,[0.282743]
String,[0.29153892]
Binary Search Tree,[0.35507047]
Math,[0.36601567]
Eulerian Circuit,[0.3818116]
Prefix Sum,[0.39645837]
Ordered Set,[0.39645837]
Topological Sort,[0.39815923]
Interactive,[0.39827758]
Heap (Priority Queue),[0.40151831]
Counting,[0.40952544]
Union Find,[0.41982861]
Graph,[0.42833802]
Array,[0.43058111]
Bit Manipulation,[0.43274315]
Breadth-First Search,[0.43589497]
Binary Search,[0.44368033]
Design,[0.45874078]
Matrix,[0.46238914]
Sorting,[0.46633294]
Monotonic Stack,[0.46998155]
String Matching,[0.46998155]
Hash Function,[0.46998155]
Randomized,[0.46998155]
Monotonic Queue,[0.46998155]
Queue,[0.46998155]
Binary Tree,[0.47114396]
Two Pointers,[0.51211515]
Divide and Conquer,[0.52735367]
Trie,[0.53370875]
Stack,[0.53507164]
Sliding Window,[0.54290107]
Hash Table,[0.56376495]
Dynamic Programming,[0.58222248]
Backtracking,[0.58580716]
Shortest Path,[0.58833029]
Depth-First Search,[0.58838402]
Bucket Sort,[0.62035819]
Tree,[0.66547769]
Linked List,[0.78746366]
