Tag,Acceptance rate
Trie,[0.38416073]
Divide and Conquer,[0.41318797]
Simulation,[0.49004105]
Binary Search,[0.51285393]
Recursion,[0.51891624]
Prefix Sum,[0.53588722]
Graph,[0.56266927]
Topological Sort,[0.56266927]
Math,[0.56852622]
Bit Manipulation,[0.56896679]
Greedy,[0.57254906]
Monotonic Stack,[0.5868777]
Stack,[0.5868777]
Union Find,[0.59835909]
Depth-First Search,[0.60851986]
Dynamic Programming,[0.61014882]
Array,[0.61315093]
Memoization,[0.61630929]
Two Pointers,[0.61861578]
Hash Table,[0.63196585]
Sliding Window,[0.63227138]
Binary Search Tree,[0.63227138]
Sorting,[0.64242516]
Merge Sort,[0.64885464]
Radix Sort,[0.64885464]
Counting Sort,[0.64885464]
Binary Tree,[0.65464599]
Tree,[0.65464599]
String,[0.67759486]
Database,[0.68372326]
Counting,[0.69842565]
Quickselect,[0.70487058]
Heap (Priority Queue),[0.72145384]
Bucket Sort,[0.72145384]
Breadth-First Search,[0.73059654]
Linked List,[0.75845902]
Matrix,[0.76030453]
Backtracking,[0.80831662]
