No,Title,Acceptance,Difficulty,Frequency,Hash Table,String,Design,Trie,Depth-First Search,Breadth-First Search,Graph
208,Implement Trie (Prefix Tree),64.7%,Medium,0.0132179451440603,1,1,1,1,0,0,0
133,Clone Graph,56.6%,Medium,0.0066089725720301,1,0,0,0,1,1,1
