No,Title,Acceptance,Difficulty,Frequency,Hash Table,Linked List,Design,Doubly-Linked List,String,Binary Search
146,LRU Cache,42.2%,Medium,0.1747836442300196,1,1,1,1,0,0
981,Time Based Key-Value Store,49.6%,Medium,0.0873918221150098,1,0,1,0,1,1
