No,Title,Acceptance,Difficulty,Frequency,Array,Binary Search,Sorting,Heap (Priority Queue),Dynamic Programming,Greedy,Sliding Window,Prefix Sum
786,K-th Smallest Prime Fraction,53.6%,Medium,2.362304327695668,1,1,1,1,0,0,0,0
1235,Maximum Profit in Job Scheduling,54.8%,Hard,0.0,1,1,1,0,1,0,0,0
1824,Minimum Sideway Jumps,49.9%,Medium,0.0,1,0,0,0,1,1,0,0
1838,Frequency of the Most Frequent Element,45.3%,Medium,0.0,1,1,1,0,0,1,1,1
