Name,Search Keyword,Resource Path,skills
.net,.net in tech,group/.net.html,[ado.net][.net][nhibernate][nuget][.net core][net maui][.net maui][dapper][nethereum]
programming,programming in tech,group/programming.html,[shader][object][decrypt][rust][directx][d][scratch][ood][ocaml][lua][kotlin][spring data][spring reactor][r][octave][polymorphism][zig][flow][class][spring aop][reactivecocoa][fortran][raku][julia][c][mobx][spring integration][assembly][dom][racket][elixir][xen][clojure][socket][f#][es6][programming][bash][rxkotlin][c#][matlab][perl][apl][abstraction][cplex][asynchronous][inheritance][ada][jruby][mapreduce][prolog][rustover][scala][lambda][solidity][structs][encapsulation][lisp][coroutines][serialization][ruby][typescript][file io][objective c][plc][object-oriented][erlang][hexadecimal][crystal][deserialization][oop][swift][haskell][junit jupiter][delphi][gdscript]
security,security in tech,group/security.html,[druva][astra security][suricata][veeam][spring security][checkmarx][aquasec][graylog][access control][cobalt][blackduck][security onion][fortify][manageengine][gemalto][saml][security monitoring][ssl][vkey][security montioring][dlp][pinpoint][netegrity][sonarlint][vault][x-pack][ninjaone][whitesource][encrypt]
apache,apache in tech,group/apache.html,[activemq][kafka][mesos][druid][apache common][camel][derby][drill][freemarker][storm][hive][sling][cayenne][spamassassin][log4net][maven][geronimo][brooklyn][roller][parquet][systemds][beam][rampart][pdfbox][jmeter][velocity][felix][arrow][poi][pr][cassandra][impala][tomcat][openoffice][mynewt][hortonworks][shiro][kudu][tcl][singa][flink][yetus][phonegap][couchdb][synapse][ftp server][lucene][apache atlas][ignite][orc][flex][xalan][activiti][celix][commons][jena][myface][bloodhound][kylin][pinot][scimple][aries][empire-db][sparkml][jackrabbit][cordova][qpid][http server][log4j][karaf][tika][phoenix][pivot][airavata][tapestry][lucene core][airflow][apisix][axiom][nuttx][carbondata][nutch][hbase][hdfs][axis][iotdb][gump][royale][netbeans][fop][accumulo][jdo][oozie][ldap][solr][helix][ant][pig][superset][mod perl][tomee][subversion][samza][calcite][messos][openjpa][turbine][spark][flume][nifi][fortress][rocketmq][cacoon][james][wicket][avro][mahout][ofbix][batik][ambari][hadoop][cloudstack][fluo][tinkerpop][groovy][mina][apache][opennlp][bcel][zookeeper][geronimmo][mxnet][logging][iceberg][xmlbeans][xerces][cxf][struts][traffic server]
cloud,cloud in tech,group/cloud.html,[cloudera][digitalocean][idrive][yugabytedb][tracisci][heroku][pivotal cloud foundry][streamsets][pcf][amazon vpc][cloud dataprep][servicenow][snowflake][virtuozzo][spring gateway][fivetran][fbackup][sonarcloud][private cloud][spanner][playcanvas][nakivo][elasticip][glacier][helidon][micronaut][parcel][hevo data][public cloud][periscope][mailgun][boomi][hybrid cloud][datadog][auvik][salesforce][spinnaker][papertrail][solarwinds][acronis cyber protect][cloudfoundry][citrix][cloudsfer][data extraction][pinecone][chartblocks][vreazlise][browserstack][beelin][envoy][fcm][openstack][backblaze][qualys][rackspace][suse][vpc][databricks][tosca][spring cloud][cft][vercel][alibaba cloud][mulesoft][bitbucket][codepush][domo]
design pattern,design pattern in tech,group/design pattern.html,[creational][prototype][strategy][singleton][builder][adapter][dependency injection][component][decorator][lock][object pool][observer][asp.net mvc][visitor][actors][facade][state][structural][aspnet mvc][join][factory][lazy][design pattern][behavioral][multition]
oracle,oracle in tech,group/oracle.html,[siebel][oracle cloud][oracle database][oracle virtual box][oracle virtual machine][epm][oracle c][soa][iplanet web server][toad][oracle sql][oracle linux][adf][essbase][oracle net]
distributed,distributed in tech,group/distributed.html,[ejb][gemfire][foundationdb][hedera][iota][istio][presto][elasticsearch][riak][alfresco][hysterix][voldemort][distributed systems][celery][loadrunner][git][couchbase][jaeger][mercurial][opentsdb][dds][eventbus][lightgbm][elb][h2o][scylladb][aerospike][etcd][nats][rpc][tibco][akka]
ios,ios in tech,group/ios.html,[ios sdk][afnetworking][ios][calabash][xamarin]
google,google in tech,group/google.html,[mongodb atlas][cloud build][memorystore][tfx][apigee][dart][google big query][google compute engine][pub sub][cloud tasks][google sheets][gwt][google cloud monitoring][google slides][dataproc][firestore][google cloud][gke][grpc][agile][google analytics][google kubernetes engine][google docs][firebase][tiered][cloud sql][google cloud storage][alloydb]
artificial intelligence,artificial intelligence in tech,group/artificial intelligence.html,[clair][zenoss][csv][jasper][datarobot][attunity][vertex ai][aiops][sprint][strata][pax][stylus][pullreview][workbench][datax][sr sam 34 35][swarm][openvino][datastax][hal]
javascript,javascript in tech,group/javascript.html,[lerna][fusioncharts][knockoutjs][meteor][pug][node.js][gulp][npm][jshint][phaser][jslint][sailsjs][redux][mermaid][inversify][jest][deno][selenium][durandaljs][qwik][babel][webpack][vanillajs][jquery][grunt][angular][angular.js][chart.js][amcharts][svelte][solidjs][casperjs][sinonjs][c4.js][web3.js][javascript][canvasjs][ember][three.js][immutable.js][polly.js][es5][ajax][es7][mootools][cesiumjs][postcss][rollup.js][chai][socketio][cypress][es2015][charts.js][eslint][extjs][greensock][devexpress][d3]
network,network in tech,group/network.html,[subnet][tcpflow][nessus][open vpn][twistlock][wireshark][server][prtg][docker compose][tenable nessus][reliability][jobserver][firewall][network monitoring][snort][area network][netcrunch][fabric][architecture][yolo][ripple][ast][mac address][nfs][zigbee][gogs][load balancer][network montioring][gephi][kentik][network devices][ip address][sui network][network protocol][cloudflare][sockets][subnet mask][zeek][glusterfs][observium][network topology][laplink][loopback][toplink][solace][cnn][akamai][language model][consul][algosec]
azure,azure in tech,group/azure.html,[azure file][azure data lake][azure][arm][azure montior][hdinsight][azure queues][azure virtual machines][elastic][hd insights][azure managed disks][azure container storage][azure container][azure elastic san][azure ai][azure migration][aks][service bus][azure pipelines][cosmodb][azure tables][vsts]
json,json in tech,group/json.html,[messagepack][web token][jwt][alamofire][json][jwe]
web,web in tech,group/web.html,[esri][esp32][blazor][jupyter][foundation][arcgis server][heron][ecmascript][testrail][pwa][nikto][soapui][mojolicious][r shiny][cakephp][sketch][ulkit][webgl][flask][domain name system][mvt][asp.net][gitlab][nuxtjs][lit][easeus][fastify][jsp][electron][varnish][web crawler][flaskapi][alerta][asp.mvc][htmlunit][jamstack][infogram][ie10+][fastapi][fiddler][expressjs][paw][web workers][babylon.js][spring web][cpanel][ruby on rails][oauth2][nginx][high charts][featherjs][rvest][express][play][grails][haproxy][scrapy][phabricator][wpbakery][respondjs][wordpress][allura][undertow][memcached][w3af][remix][rwd][dotnetnuke][webrtc][elementor][figma][protractor][koajs][web api][signalr][websockets][ktor][django rest][aspx][wsdl][github][openapi][pyspider][doxia][gurobi][asp.net core][spring batch][liferay]
big data,big data in tech,group/big data.html,[alluxio][kms][greenplum][hdp][mapr]
data analytics,data analytics in tech,group/data analytics.html,[qlikview][knime][alteryx][experian][rapidminer]
amazon,amazon in tech,group/amazon.html,[codebuild][codedeploy][sqs][documentdb][ebs][sns][ecs][elasticcache][lake formation][drs][amazon codepipeline][aws mobile hub][s3][elasticache][rds][kinesis][aws][cloudformation][eks][athena][aurora][metastore][glue][amplify][aws sam][aws device farm][amazon lake formation][amazon file cache][neptune][route53][redshift][fargate][codepipeline][timestream][ec2][emr][aws cdk][fsx][cognito][sagemaker][code commit][amazon lambda][aws appsync][cloudfront][elastic bean stalk]
protocol,protocol in tech,group/protocol.html,[http][soap][udp][openid][stm32wl][icp][openssl][xmpp][odata][oidc][ftp][ble][filezilla][dhcp][mqtt][checksum][vrrp][eigrp][syslog][tcp][amqp][mpls][rabbitmq][ospf]
python,python in tech,group/python.html,[streamlit][beautiful soup][ansible][django][pybrain][jinja][xarray][raspberry pi][sqlalchemy][gensim][nltk][scikit-image][scikit-learn][tkinter][pyside2][langchain][stack][panel][deepface][jax][dataframe][gradio][python][pyqt][asyncio][pyspark][seaborn][kedro][locust][requests][dask][pysimplegui][luigi][pyforms][tuple][libavg][exploratory data analysis][anaconda][mechanicalsoup][scipy][selenium base][numpy][pytest][theano][ipython][plotly][geopandas]
android,android in tech,group/android.html,[andriod jetpack][android sdk][android studio][android][fastlane][mvicore][mvrx][android ndk][leakcanary][okhttp][retrofit 2][espresso ][hilt][glide][butterknife]
mobile,mobile in tech,group/mobile.html,[crashlytics][mobile][realm][capacitor][garden][appdna][konga][ionic][nativescript][nomad][jquery mobile][swiftic][angular native]
react,react in tech,group/react.html,[react.js][react hook][chakra ui][antd][nextjs][gatsby][rxswift][react native][react][react router][material ui]
