No,Title,Link,Tags,Acceptance,Difficulty,Frequency
2781,Length of the Longest Valid Substring,https://leetcode.com/problems/length-of-the-longest-valid-substring/description/,[Array][Hash Table][String][Sliding Window],35.6%,Hard,2.767906796903054
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,2.644767562046146
2055,Plates Between Candles,https://leetcode.com/problems/plates-between-candles/description/,[Array][String][Binary Search][Prefix Sum],44.2%,Medium,2.5216283271892377
1152,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern/description/,[Array][Hash Table][Sorting],42.9%,Medium,2.398489092332329
2519,Count the Number of K-Big Indices,https://leetcode.com/problems/count-the-number-of-k-big-indices/description/,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],53.4%,Hard,2.353757315758966
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.0%,Easy,2.3434195884930533
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,2.220280353636145
2355,Maximum Number of Books You Can Take,https://leetcode.com/problems/maximum-number-of-books-you-can-take/description/,[Array][Dynamic Programming][Stack][Monotonic Stack],41.3%,Hard,2.097141118779237
1359,Count All Valid Pickup and Delivery Options,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/description/,[Math][Dynamic Programming][Combinatorics],65.2%,Hard,2.0724728723637424
2357,Make Array Zero by Subtracting Equal Amounts,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/description/,[Array][Hash Table][Greedy][Sorting][Heap (Priority Queue)][Simulation],72.1%,Easy,2.0028650419827856
632,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/description/,[Array][Hash Table][Greedy][Sliding Window][Sorting][Heap (Priority Queue)],62.3%,Hard,1.891934147853516
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,[Array][Binary Search][Divide and Conquer],39.4%,Hard,1.8484148112429877
472,Concatenated Words,https://leetcode.com/problems/concatenated-words/description/,[Array][String][Dynamic Programming][Depth-First Search][Trie],49.6%,Hard,1.817734955631316
127,Word Ladder,https://leetcode.com/problems/word-ladder/description/,[Hash Table][String][Breadth-First Search],38.8%,Hard,1.6945957207744071
818,Race Car,https://leetcode.com/problems/race-car/description/,[Dynamic Programming],43.6%,Hard,1.6945957207744071
2340,Minimum Adjacent Swaps to Make a Valid Array,https://leetcode.com/problems/minimum-adjacent-swaps-to-make-a-valid-array/description/,[Array][Greedy],72.8%,Medium,1.65328979496295
1220,Count Vowels Permutation,https://leetcode.com/problems/count-vowels-permutation/description/,[Dynamic Programming],62.2%,Hard,1.6506808709681495
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,1.589475980414199
2281,Sum of Total Strength of Wizards,https://leetcode.com/problems/sum-of-total-strength-of-wizards/description/,[Array][Stack][Monotonic Stack][Prefix Sum],27.7%,Hard,1.499234772300486
2870,Minimum Number of Operations to Make Array Empty,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-empty/description/,[Array][Hash Table][Greedy][Counting],61.9%,Medium,1.4950275612563562
1567,Maximum Length of Subarray With Positive Product,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/description/,[Array][Dynamic Programming][Greedy],44.2%,Medium,1.4766784225881595
1846,Maximum Element After Decreasing and Rearranging,https://leetcode.com/problems/maximum-element-after-decreasing-and-rearranging/description/,[Array][Greedy][Sorting],66.0%,Medium,1.4663370687934272
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,1.4384801142904609
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,1.3933354631349395
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/description/,[Hash Table][String][Design][Trie],48.2%,Hard,1.3910002521573033
