No,Title,Link,Tags,Acceptance,Difficulty,Frequency
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions/description/,[Array][Stack],62.2%,Medium,2.8600261687837474
1012,Numbers With Repeated Digits,https://leetcode.com/problems/numbers-with-repeated-digits/description/,[Math][Dynamic Programming],42.0%,Hard,2.8162368809214744
1208,Get Equal Substrings Within Budget,https://leetcode.com/problems/get-equal-substrings-within-budget/description/,[String][Binary Search][Sliding Window][Prefix Sum],50.7%,Medium,2.2429468266743147
1529,Minimum Suffix Flips,https://leetcode.com/problems/minimum-suffix-flips/description/,[String][Greedy],73.1%,Medium,1.6696567724271552
2964,Number of Divisible Triplet Sums,https://leetcode.com/problems/number-of-divisible-triplet-sums/description/,[Array][Hash Table],68.1%,Medium,1.55814461804655
1492,The kth Factor of n,https://leetcode.com/problems/the-kth-factor-of-n/description/,[Math][Number Theory],66.8%,Medium,1.3457090810048122
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,1.208189254704871
2491,Divide Players Into Teams of Equal Skill,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill/description/,[Array][Hash Table][Two Pointers][Sorting],59.4%,Medium,0.9088557533866368
2598,Smallest Missing Non-negative Integer After Operations,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations/description/,[Array][Hash Table][Math][Greedy],39.0%,Medium,0.8873031950009028
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/description/,[Hash Table][Math][String],64.3%,Medium,0.4890959071805757
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/description/,[Math][String][Simulation],71.8%,Easy,0.2731294587804852
456,132 Pattern,https://leetcode.com/problems/132-pattern/description/,[Array][Binary Search][Stack][Monotonic Stack][Ordered Set],33.7%,Medium,0.1565690606915399
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,[Hash Table][Math][String],60.8%,Easy,0.0678870809684113
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,[Array][Dynamic Programming],53.5%,Easy,0.0644922580393232
334,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence/description/,[Array][Greedy],40.2%,Medium,0.0379192348622937
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0.0296537665752035
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,[String][Trie],42.4%,Easy,0.0231016433800947
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,[Hash Table][String][Backtracking],60.0%,Medium,0.0227670619135464
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.0%,Easy,0.0030814291387936
