No,Title,Link,Tags,Acceptance,Difficulty,Frequency
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/description/,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],53.9%,Medium,5.88388272454667
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/,[String][Stack],67.1%,Medium,5.605757005560598
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/description/,[Two Pointers][String],35.5%,Easy,5.551293664301984
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum/description/,[Depth-First Search][Breadth-First Search],83.3%,Medium,5.273167945315912
1650,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description/,[Hash Table][Two Pointers][Tree][Binary Tree],79.1%,Medium,5.189336381883098
1570,Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/description/,[Array][Hash Table][Two Pointers][Design],89.9%,Medium,5.0256040411903
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/description/,[Array][Stack][Monotonic Stack],79.4%,Medium,4.949875677980282
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/description/,[Two Pointers][String][Greedy],40.4%,Easy,4.935448609769775
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,4.774963796247719
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/description/,[Math][String][Stack],43.4%,Medium,4.7182645698443135
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,4.440138850858242
938,Range Sum of BST,https://leetcode.com/problems/range-sum-of-bst/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],86.7%,Easy,4.16201313187217
791,Custom Sort String,https://leetcode.com/problems/custom-sort-string/description/,[Hash Table][String][Sorting],69.8%,Medium,4.13729761775131
71,Simplify Path,https://leetcode.com/problems/simplify-path/description/,[String][Stack],41.9%,Medium,4.0664466855301
426,Convert Binary Search Tree to Sorted Doubly Linked List,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/description/,[Linked List][Stack][Tree][Depth-First Search][Binary Search Tree][Binary Tree][Doubly-Linked List],64.8%,Medium,4.0559084111958095
921,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/description/,[String][Stack][Greedy],75.1%,Medium,3.9969952677989062
