No,Title,Link,Tags,Acceptance,Difficulty,Frequency
926,Flip String to Monotone Increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing/description/,[String][Dynamic Programming],61.4%,Medium,0.6643745978092146
716,Max Stack,https://leetcode.com/problems/max-stack/description/,[Linked List][Stack][Design][Doubly-Linked List][Ordered Set],45.0%,Hard,0.5245244681241525
1306,Jump Game III,https://leetcode.com/problems/jump-game-iii/description/,[Array][Depth-First Search][Breadth-First Search],64.6%,Medium,0.5168226432383649
2050,Parallel Courses III,https://leetcode.com/problems/parallel-courses-iii/description/,[Array][Dynamic Programming][Graph][Topological Sort],67.7%,Hard,0.5042466526679481
871,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops/description/,[Array][Dynamic Programming][Greedy][Heap (Priority Queue)],40.0%,Hard,0.462623521948113
934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],57.7%,Medium,0.322773392263051
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/description/,[Array][Breadth-First Search][Matrix],45.2%,Hard,0.291910408561302
317,Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings/description/,[Array][Breadth-First Search][Matrix],43.0%,Hard,0.2815658454343448
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions/description/,[Array][Stack],62.2%,Medium,0.1986706947954841
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,0.1950265086992262
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description/,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,0.1420825136137727
79,Word Search,https://leetcode.com/problems/word-search/description/,[Array][String][Backtracking][Matrix],41.4%,Medium,0.1334198788245743
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Graph][Shortest Path],61.5%,Medium,0.10648348040245
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,[Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Heap (Priority Queue)][Shortest Path],39.2%,Medium,0.1038995950181514
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/description/,[Depth-First Search][Graph][Eulerian Circuit],43.3%,Hard,0.0993371898656319
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.0897462878562754
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,0.0377047490242394
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/description/,[Hash Table][String][Sliding Window],42.7%,Hard,0.0336448891427242
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,[Array][Binary Search],45.9%,Medium,0.0214370481306053
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0.0178655935354093
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/,[Linked List][Recursion],64.0%,Easy,0.0106299167286002
