Tag,Acceptance rate
Simulation,[0.06722941]
Matrix,[0.07824315]
Greedy,[0.08492022]
Counting,[0.09703878]
Two Pointers,[0.14560443]
Monotonic Stack,[0.14560443]
Trie,[0.15385575]
Graph,[0.19733781]
Union Find,[0.21457387]
Data Stream,[0.21978713]
Doubly-Linked List,[0.22055566]
Topological Sort,[0.2367151]
Binary Search,[0.23805461]
Bitmask,[0.24830963]
Bit Manipulation,[0.24830963]
String,[0.26753722]
Binary Tree,[0.27028663]
Tree,[0.27028663]
Math,[0.31561435]
Bucket Sort,[0.31561435]
Quickselect,[0.31561435]
Number Theory,[0.31561435]
Linked List,[0.33135429]
Sliding Window,[0.35781253]
Dynamic Programming,[0.38187523]
Hash Table,[0.40928021]
Divide and Conquer,[0.4648448]
Design,[0.46565817]
Sorting,[0.46942157]
Stack,[0.52549562]
Breadth-First Search,[0.5358091]
Depth-First Search,[0.5358091]
Array,[0.54087793]
Backtracking,[0.54303799]
Heap (Priority Queue),[0.61622298]
