Tag,Acceptance rate
Binary Search,[0.34386846]
Greedy,[0.34488152]
Stack,[0.369474]
Heap (Priority Queue),[0.39625491]
Prefix Sum,[0.39625491]
Math,[0.42766082]
Combinatorics,[0.42766082]
Sliding Window,[0.45124948]
Queue,[0.45124948]
Counting,[0.45124948]
Backtracking,[0.45124948]
Depth-First Search,[0.45124948]
Hash Table,[0.46255517]
Trie,[0.46429721]
Rolling Hash,[0.46429721]
Suffix Array,[0.46429721]
Dynamic Programming,[0.47296018]
Monotonic Stack,[0.47631596]
Linked List,[0.48356837]
Design,[0.48356837]
Hash Function,[0.49661611]
Tree,[0.49832984]
Binary Tree,[0.49832984]
Breadth-First Search,[0.49832984]
String,[0.49890563]
Array,[0.521552]
Two Pointers,[0.54775694]
Sorting,[0.56129395]
