Tag,Acceptance rate
Shell,[0.15016862]
String Matching,[0.31195001]
Doubly-Linked List,[0.32369207]
Bitmask,[0.33378905]
Binary Indexed Tree,[0.33584137]
Segment Tree,[0.33584137]
Interactive,[0.34946449]
Depth-First Search,[0.35389678]
Counting,[0.37336352]
Trie,[0.38572359]
Sliding Window,[0.38989904]
Monotonic Queue,[0.39338421]
Memoization,[0.40989922]
Math,[0.41191997]
Prefix Sum,[0.41781174]
Divide and Conquer,[0.43353962]
Greedy,[0.43467174]
Binary Search,[0.44244991]
Dynamic Programming,[0.45638861]
Data Stream,[0.46453736]
Hash Function,[0.46453736]
Radix Sort,[0.46453736]
Counting Sort,[0.46453736]
Iterator,[0.46453736]
Two Pointers,[0.46480256]
Bit Manipulation,[0.46571939]
Monotonic Stack,[0.46725658]
Bucket Sort,[0.47201989]
Design,[0.47340439]
Breadth-First Search,[0.47603281]
String,[0.47667445]
Recursion,[0.48697373]
Sorting,[0.49059911]
Union Find,[0.49192134]
Hash Table,[0.49668174]
Database,[0.49987058]
Heap (Priority Queue),[0.5013925]
Stack,[0.50361079]
Randomized,[0.50495776]
Ordered Set,[0.50592217]
Array,[0.50613011]
Queue,[0.50911577]
Graph,[0.52749799]
Topological Sort,[0.52749799]
Linked List,[0.53147524]
Binary Search Tree,[0.5369868]
Simulation,[0.53843258]
Tree,[0.53847395]
Binary Tree,[0.53847395]
Matrix,[0.56690233]
Enumeration,[0.57215467]
Merge Sort,[0.59370566]
Quickselect,[0.59861631]
Number Theory,[0.62271195]
Backtracking,[0.62625732]
