Tag,Acceptance rate
Trie,[-0.22135617]
Backtracking,[-0.1020263]
Heap (Priority Queue),[0.05905416]
Doubly-Linked List,[0.0995319]
Math,[0.12832995]
Sliding Window,[0.15867635]
Simulation,[0.16657732]
Stack,[0.19369123]
Union Find,[0.20808182]
Dynamic Programming,[0.21120459]
Hash Table,[0.24062022]
Shortest Path,[0.24197725]
Monotonic Queue,[0.24197725]
Graph,[0.24197725]
Randomized,[0.24197725]
Greedy,[0.2538069]
Prefix Sum,[0.26485236]
Depth-First Search,[0.26505598]
Breadth-First Search,[0.26505598]
Sorting,[0.30172201]
Binary Search Tree,[0.31636729]
Binary Tree,[0.31636729]
Tree,[0.31636729]
Geometry,[0.31787471]
Linked List,[0.33271081]
Two Pointers,[0.35921875]
Matrix,[0.37915138]
Counting,[0.38721016]
Binary Search,[0.39112409]
Queue,[0.40119831]
Array,[0.40398865]
Data Stream,[0.42844832]
Recursion,[0.43114245]
String,[0.43415312]
Design,[0.44657757]
Divide and Conquer,[0.48212219]
Merge Sort,[0.48212219]
Monotonic Stack,[0.5147983]
Memoization,[0.57918435]
