Tag,Acceptance rate
Topological Sort,[0.28795269]
Math,[0.38166679]
Hash Table,[0.40132287]
Stack,[0.42766479]
Linked List,[0.42908553]
String,[0.43362465]
Dynamic Programming,[0.48627417]
Array,[0.5030919]
Ordered Set,[0.51566233]
Binary Tree,[0.53274971]
Tree,[0.53274971]
Number Theory,[0.53687931]
Enumeration,[0.53687931]
Recursion,[0.54537508]
Backtracking,[0.56626584]
Matrix,[0.56626584]
Sorting,[0.59783771]
Depth-First Search,[0.60890947]
Breadth-First Search,[0.60890947]
Graph,[0.61303907]
Design,[0.62278197]
Doubly-Linked List,[0.62278197]
Sliding Window,[0.62986869]
Two Pointers,[0.63451548]
Divide and Conquer,[0.63549798]
Greedy,[0.68981341]
Monotonic Stack,[0.73726536]
