No,Title,Link,Tags,Acceptance,Difficulty,Frequency
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii/description/,[Math][String][Stack][Recursion],50.2%,Hard,2.1517277679715576
666,Path Sum IV,https://leetcode.com/problems/path-sum-iv/description/,[Array][Hash Table][Tree][Depth-First Search][Binary Tree],60.8%,Medium,2.006130355814084
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/description/,[Hash Table][String][Design][Trie],48.2%,Hard,1.992245006741613
465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing/description/,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],49.5%,Hard,1.913521908992012
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,1.7679244968345385
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/description/,[Array][Breadth-First Search][Matrix],45.2%,Hard,1.639490257500502
694,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/description/,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Hash Function],61.1%,Medium,1.6030684641486206
1530,Number of Good Leaf Nodes Pairs,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/description/,[Tree][Depth-First Search][Binary Tree],62.8%,Medium,1.589732841354768
815,Bus Routes,https://leetcode.com/problems/bus-routes/description/,[Array][Hash Table][Breadth-First Search],48.2%,Hard,1.5806819374467964
1345,Jump Game IV,https://leetcode.com/problems/jump-game-iv/description/,[Array][Hash Table][Breadth-First Search],46.3%,Hard,1.4350845252893227
259,3Sum Smaller,https://leetcode.com/problems/3sum-smaller/description/,[Array][Two Pointers][Binary Search][Sorting],50.7%,Medium,1.3627638637096964
924,Minimize Malware Spread,https://leetcode.com/problems/minimize-malware-spread/description/,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Graph],42.0%,Hard,1.3618033411115948
2217,Find Palindrome With Fixed Length,https://leetcode.com/problems/find-palindrome-with-fixed-length/description/,[Array][Math],35.9%,Medium,1.3115342859107813
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses/description/,[String][Stack],64.3%,Medium,1.238658362313826
2158,Amount of New Area Painted Each Day,https://leetcode.com/problems/amount-of-new-area-painted-each-day/description/,[Array][Segment Tree][Ordered Set],55.1%,Hard,1.209837923778334
1541,Minimum Insertions to Balance a Parentheses String,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/description/,[String][Stack][Greedy],51.4%,Medium,1.120411517010694
2421,Number of Good Paths,https://leetcode.com/problems/number-of-good-paths/description/,[Array][Hash Table][Tree][Union Find][Graph][Sorting],56.5%,Hard,1.0360919316867756
