proxy,latency
8.219.59.84:7777,4.217
128.199.119.110:8000,1.251
165.22.96.68:3128,23.851
47.236.56.214:80,3.865
188.166.233.248:8000,1.585
107.155.65.11:3128,19.073
8.222.185.196:15673,2.802
47.236.149.62:3128,11.438
208.109.14.49:63470,8.048
8.222.152.158:55555,1.827
157.230.33.25:8000,1.684
208.109.13.93:53778,13.674
159.65.129.62:8081,24.049
137.116.142.82:80,9.234
43.156.83.13:3128,3.982
172.188.28.148:3128,20.753
8.219.200.77:10028,7.821
8.219.190.175:10028,22.003
128.199.104.93:8000,1.601
128.199.165.63:49093,16.75
43.128.107.251:8888,2.918
43.134.240.104:15673,15.667
188.166.186.145:8000,1.196
128.199.252.36:8000,1.652
157.230.254.88:3128,21.809
157.245.54.43:3128,18.465
128.199.116.34:4444,21.262
15.235.187.227:62640,4.022
159.65.0.189:3128,20.374
165.22.103.5:443,21.262
