Name,skills
python,[nltk][kedro][pyqt][selenium base][pysimplegui][requests][dask][anaconda][jax][message queue][encrypt][ipython][wxpython][tkinter][pytest][scikit-learn][locust][xarray][airflow][mechanicalsoup][panel][geojson][pyspark][numpy][arrow][geopandas][luigi][fastapi][sqlalchemy][raspberry pi][pyside2][deepface][gradio][scikit-image][wax][pyforms][scrapy][seaborn][flaskapi][gensim][multiprocessing][jinja][beautiful soup][asyncio][python][django][celery][mq][theano][xmpp][tuple][flask][web crawler][pyspider][matplotlib][langchain][streamlit][plotly][cisco][scipy]
javascript,[grunt][lerna][electron][rollup.js][meteor][solidjs][chart.js][dependencies][greensock][charts.js][es7][chai][npm][amcharts][ember][deno][ajax][immutable.js][eslint][d3][webpack][yarn][babel][phaser][knockoutjs][sinonjs][gulp][polly.js][qwik][es5][three.js][dart][c4.js][fusioncharts][jquery][redux][model view controller][socketio][jasmine][cesiumjs][jslint][es2015][javascript][httpunit][json][durandaljs][canvasjs][pug][jshint][mootools][jest][svelte][web3.js]
cloud computing,[suse][dbaas][amazon vpc][amazon][oracle cloud][cloud][cloud computing][security][openstack][vmware][rackspace][private cloud][citrix][alibaba cloud][pcf][akamai][cloudsfer][azure][pivotal cloud foundry][azure blobs][elb][ec2][google]
mobile,[nativescript][corona][sns][crashlytics][konga][figma][aws mobile hub][lonic][liferay][mobile][high charts][aws device farm][ios][cordova][avalonia ui][appium][ionic][bitrise][swiftic][garden][vkey][firebase][pwa][jquery mobile][mapbox][sybase][ios sdk][sentry][nomad][aks][flex][ble][browserstack][titanium][capacitor][appdna][phonegap]
swift,[arkit][alamofire][swift]
automation,[cmake][chef][network protocol][eg innovations][rundeck][vcloud][selenium][tiered][cloud bees flow][camunda][ranorex][plc][ninjaone][continuous delivery][esri][area network][powershell][network devices][algosec][auvik][control m][protractor][octopus deploy][testng][automated testing][jenkins][sharegate][qtp][zigbee][robot][ansible][vsphere][specflow][windows batch]
postgresql,[datagrip][postgis][postgresql][alloydb]
analytics,[hevo data][sap bw][dynatrace][data analytics][pinot][qliksense][zoho analytics][testrail][cisco stealthwatch][knime][vertica][clickhouse][bower][kudu][qilkview][essbase][netezza][datadog][druid][experian][ibm cognos analytics][papertrail][kentik][hive][google analytics][azure synapse analytics][analytics][hdinsight][salesforce][rubrik][microstrategy][ibm planning analytics][rapidminer][cloudera][teradata][yolo][qlikview][alteryx][axway][carbondata][sisense][kms][mixpanel][qlik][grafana][tableau][hana][ibm db2]
pipelines,[graylog][xlm][buildkite][amazon codepipeline][beam][azure pipelines]
datasets,[amazon file cache][jcl][databricks][neptune][unstructured datasets][vault][dataset][geoserver][clair]
