No,Title,Tags,Acceptance,Difficulty,Frequency
2850,Minimum Moves to Spread Stones Over Grid,[Array][Dynamic Programming][Breadth-First Search][Matrix],42.4%,Medium,1.9395174922293086
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,1.5738663693985406
285,Inorder Successor in BST,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],49.5%,Medium,1.2082152465677727
2384,Largest Palindromic Number,[Hash Table][String][Greedy],33.3%,Medium,0.8425641237370047
3013,Divide an Array Into Subarrays With Minimum Cost II,[Array][Hash Table][Sliding Window][Heap (Priority Queue)],30.5%,Hard,0.8286926725561692
828,Count Unique Characters of All Substrings of a Given String,[Hash Table][String][Dynamic Programming],52.2%,Hard,0.7621400520468967
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.5486787485455282
2028,Find Missing Observations,[Array][Math][Simulation],46.0%,Medium,0.5108256237659907
460,LFU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0.5020919437972361
979,Distribute Coins in Binary Tree,[Tree][Depth-First Search][Binary Tree],72.6%,Medium,0.4978384282391795
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.4617537297735937
297,Serialize and Deserialize Binary Tree,[String][Tree][Depth-First Search][Breadth-First Search][Design][Binary Tree],56.5%,Hard,0.4490949483208239
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.44342587034738734
402,Remove K Digits,[String][Stack][Greedy][Monotonic Stack],31.0%,Medium,0.44059619962982216
974,Subarray Sums Divisible by K,[Array][Hash Table][Prefix Sum],54.0%,Medium,0.4374678391943382
3,Longest Substring Without Repeating Characters,[Hash Table][String][Sliding Window],34.5%,Medium,0.42865101557697494
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,0.42137338064122626
400,Nth Digit,[Math][Binary Search],34.7%,Medium,0.41836851294407224
2251,Number of Flowers in Full Bloom,[Array][Hash Table][Binary Search][Sorting][Prefix Sum][Ordered Set],56.8%,Hard,0.41836851294407224
2007,Find Original Array From Doubled Array,[Array][Hash Table][Greedy][Sorting],40.5%,Medium,0.4096756406445079
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,[Array][Queue][Sliding Window][Heap (Priority Queue)][Ordered Set][Monotonic Queue],49.1%,Medium,0.39730179746900346
706,Design HashMap,[Array][Hash Table][Linked List][Design][Hash Function],65.7%,Easy,0.3798786889211724
489,Robot Room Cleaner,[Backtracking][Interactive],76.6%,Hard,0.37827896780400755
1376,Time Needed to Inform All Employees,[Tree][Depth-First Search][Breadth-First Search],60.0%,Medium,0.36772478012531734
316,Remove Duplicate Letters,[String][Stack][Greedy][Monotonic Stack],49.4%,Medium,0.3483066942682158
2477,Minimum Fuel Cost to Report to the Capital,[Tree][Depth-First Search][Breadth-First Search][Graph],65.0%,Medium,0.3452699473247421
836,Rectangle Overlap,[Math][Geometry],44.6%,Easy,0.33647223662121295
53,Maximum Subarray,[Array][Divide and Conquer][Dynamic Programming],50.6%,Medium,0.3287227629019473
140,Word Break II,[Array][Hash Table][String][Dynamic Programming][Backtracking][Trie][Memoization],47.5%,Hard,0.3161972427598021
1209,Remove All Adjacent Duplicates in String II,[String][Stack],57.4%,Medium,0.30854721091574266
54,Spiral Matrix,[Array][Matrix][Simulation],48.9%,Medium,0.30538164955118186
2239,Find Closest Number to Zero,[Array],44.7%,Easy,0.29626581614317243
212,Word Search II,[Array][String][Backtracking][Trie][Matrix],36.2%,Hard,0.29461728296402334
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.2928573006785483
41,First Missing Positive,[Array][Hash Table],37.8%,Hard,0.28721985843846753
348,Design Tic-Tac-Toe,[Array][Hash Table][Design][Matrix][Simulation],57.9%,Medium,0.2856138193877219
3040,Maximum Number of Operations With the Same Score II,[Array][Dynamic Programming][Memoization],30.7%,Medium,0.27958486221916157
31,Next Permutation,[Array][Two Pointers],39.5%,Medium,0.2786247853392714
139,Word Break,[Array][Hash Table][String][Dynamic Programming][Trie][Memoization],46.6%,Medium,0.27359733257004193
39,Combination Sum,[Array][Backtracking],71.0%,Medium,0.271176610012974
