No,Title,Tags,Acceptance,Difficulty,Frequency
1529,Minimum Suffix Flips,[String][Greedy],73.1%,Medium,2.934339670650899
780,Reaching Points,[Math],33.1%,Hard,2.6781451107113803
2038,Remove Colored Pieces if Both Neighbors are the Same Color,[Math][String][Greedy][Game Theory],62.8%,Medium,2.343709851093071
1356,Sort Integers by The Number of 1 Bits,[Array][Bit Manipulation][Sorting][Counting],78.2%,Easy,2.1268538312099032
2068,Check Whether Two Strings are Almost Equivalent,[Hash Table][String][Counting],63.7%,Easy,2.0808569649460837
1200,Minimum Absolute Difference,[Array][Sorting],69.5%,Easy,1.8774634598861006
1328,Break a Palindrome,[String][Greedy],51.8%,Medium,1.8549201157262611
1481,Least Number of Unique Integers after K Removals,[Array][Hash Table][Greedy][Sorting][Counting],62.8%,Medium,1.648266458272776
2273,Find Resultant Array After Removing Anagrams,[Array][Hash Table][String][Sorting],58.0%,Easy,1.11365016603265
1167,Minimum Cost to Connect Sticks,[Array][Greedy][Heap (Priority Queue)],69.7%,Medium,0.5790338737925242
1710,Maximum Units on a Truck,[Array][Greedy][Sorting],73.6%,Easy,0.4992480704235479
357,Count Numbers with Unique Digits,[Math][Dynamic Programming][Backtracking],52.8%,Medium,0.4096756406445079
752,Open the Lock,[Array][Hash Table][String][Breadth-First Search],56.0%,Medium,0.37827896780400755
31,Next Permutation,[Array][Two Pointers],39.5%,Medium,0.2786247853392714
2104,Sum of Subarray Ranges,[Array][Stack][Monotonic Stack],61.1%,Medium,0.2561688067457042
412,Fizz Buzz,[Math][String][Simulation],71.8%,Easy,0.10711776476069794
263,Ugly Number,[Math],42.0%,Easy,0.08974628785627545
560,Subarray Sum Equals K,[Array][Hash Table][Prefix Sum],43.4%,Medium,0.06282596044139727
349,Intersection of Two Arrays,[Array][Hash Table][Two Pointers][Binary Search][Sorting],72.4%,Easy,0.05189231600351913
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.04467244005159257
22,Generate Parentheses,[String][Dynamic Programming][Backtracking],74.2%,Medium,0.0215874546043835
5,Longest Palindromic Substring,[String][Dynamic Programming],33.7%,Medium,0.013821920116179907
70,Climbing Stairs,[Math][Dynamic Programming][Memoization],52.8%,Easy,0.012890929396928217
53,Maximum Subarray,[Array][Divide and Conquer][Dynamic Programming],50.6%,Medium,0.012783811042270835
