No,Title,Tags,Acceptance,Difficulty,Frequency
1698,Number of Distinct Substrings in a String,[String][Trie][Rolling Hash][Suffix Array][Hash Function],63.8%,Medium,1.3327094439875393
713,Subarray Product Less Than K,[Array][Sliding Window],47.2%,Medium,1.1241168205816137
2063,Vowels of All Substrings,[Math][String][Dynamic Programming][Combinatorics],54.2%,Medium,0.7777045685880084
1326,Minimum Number of Taps to Open to Water a Garden,[Array][Dynamic Programming][Greedy],51.1%,Hard,0.49159426183810306
678,Valid Parenthesis String,[String][Dynamic Programming][Stack][Greedy],34.8%,Medium,0.1451820098444979
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.2%,Medium,0.12434070329202965
387,First Unique Character in a String,[Hash Table][String][Queue][Counting],62.0%,Easy,0.11122563511022437
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.08974628785627545
22,Generate Parentheses,[String][Dynamic Programming][Backtracking],74.2%,Medium,0.08368707237308971
706,Design HashMap,[Array][Hash Table][Linked List][Design][Hash Function],65.7%,Easy,0.07133147800542972
129,Sum Root to Leaf Numbers,[Tree][Depth-First Search][Binary Tree],63.3%,Medium,0.05588045839445659
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0.04752742385552696
103,Binary Tree Zigzag Level Order Traversal,[Tree][Breadth-First Search][Binary Tree],58.6%,Medium,0.03490755821080199
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.02924719523849256
33,Search in Rotated Sorted Array,[Array][Binary Search],40.5%,Medium,0.014754970746799198
283,Move Zeroes,[Array][Two Pointers],61.6%,Easy,0.01405504514364441
121,Best Time to Buy and Sell Stock,[Array][Dynamic Programming],53.5%,Easy,0.007374664691267215
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.006919910744152597
