No,Title,Tags,Acceptance,Difficulty,Frequency
314,Binary Tree Vertical Order Traversal,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],53.9%,Medium,5.88388272454667
1249,Minimum Remove to Make Valid Parentheses,[String][Stack],67.1%,Medium,5.605757005560598
408,Valid Word Abbreviation,[Two Pointers][String],35.5%,Easy,5.5512936643019835
339,Nested List Weight Sum,[Depth-First Search][Breadth-First Search],83.3%,Medium,5.273167945315912
1650,Lowest Common Ancestor of a Binary Tree III,[Hash Table][Two Pointers][Tree][Binary Tree],79.1%,Medium,5.189336381883098
1570,Dot Product of Two Sparse Vectors,[Array][Hash Table][Two Pointers][Design],89.9%,Medium,5.0256040411903
1762,Buildings With an Ocean View,[Array][Stack][Monotonic Stack],79.4%,Medium,4.949875677980282
680,Valid Palindrome II,[Two Pointers][String][Greedy],40.4%,Easy,4.935448609769775
528,Random Pick with Weight,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,4.774963796247719
227,Basic Calculator II,[Math][String][Stack],43.4%,Medium,4.7182645698443135
215,Kth Largest Element in an Array,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,4.440138850858242
938,Range Sum of BST,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],86.7%,Easy,4.16201313187217
791,Custom Sort String,[Hash Table][String][Sorting],69.8%,Medium,4.13729761775131
71,Simplify Path,[String][Stack],41.9%,Medium,4.0664466855301
426,Convert Binary Search Tree to Sorted Doubly Linked List,[Linked List][Stack][Tree][Depth-First Search][Binary Search Tree][Binary Tree][Doubly-Linked List],64.8%,Medium,4.0559084111958095
921,Minimum Add to Make Parentheses Valid,[String][Stack][Greedy],75.1%,Medium,3.9969952677989067
346,Moving Average from Data Stream,[Array][Design][Queue][Data Stream],78.1%,Easy,3.8700429331872632
236,Lowest Common Ancestor of a Binary Tree,[Tree][Depth-First Search][Binary Tree],61.6%,Medium,3.8655205450484194
691,Stickers to Spell Word,[Array][String][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],48.0%,Hard,3.820847124762276
50,"Pow(x, n)",[Math][Recursion],34.5%,Medium,3.681717997107765
560,Subarray Sum Equals K,[Array][Hash Table][Prefix Sum],43.4%,Medium,3.591889189405444
129,Sum Root to Leaf Numbers,[Tree][Depth-First Search][Binary Tree],63.3%,Medium,3.5293985016362384
973,K Closest Points to Origin,[Array][Math][Divide and Conquer][Geometry][Sorting][Heap (Priority Queue)][Quickselect],66.2%,Medium,3.4723075827801346
827,Making A Large Island,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],46.7%,Hard,3.4524617738979386
65,Valid Number,[String],19.5%,Hard,3.4324085475940267
162,Find Peak Element,[Array][Binary Search],45.9%,Medium,3.343133580707394
986,Interval List Intersections,[Array][Two Pointers],71.5%,Medium,3.3334352795613365
1091,Shortest Path in Binary Matrix,[Array][Breadth-First Search][Matrix],47.1%,Medium,3.3325382328547573
708,Insert into a Sorted Circular Linked List,[Linked List],35.7%,Medium,3.3069368790644034
199,Binary Tree Right Side View,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.8%,Medium,3.3064643838782444
56,Merge Intervals,[Array][Sorting],47.1%,Medium,3.253203681602053
670,Maximum Swap,[Math][Greedy],48.5%,Medium,3.117836806495837
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,3.0047621774394146
249,Group Shifted Strings,[Array][Hash Table][String],65.3%,Medium,2.919081863778596
270,Closest Binary Search Tree Value,[Binary Search][Tree][Depth-First Search][Binary Search Tree][Binary Tree],52.1%,Easy,2.912897903029097
398,Random Pick Index,[Hash Table][Math][Reservoir Sampling][Randomized],63.0%,Medium,2.8215258479790273
138,Copy List with Random Pointer,[Hash Table][Linked List],55.5%,Medium,2.819704235017853
301,Remove Invalid Parentheses,[String][Backtracking][Breadth-First Search],48.0%,Hard,2.785660803807134
766,Toeplitz Matrix,[Array][Matrix],68.8%,Easy,2.718453415863096
543,Diameter of Binary Tree,[Tree][Depth-First Search][Binary Tree],59.9%,Easy,2.710971739073401
415,Add Strings,[Math][String][Simulation],51.7%,Easy,2.6810726416995556
636,Exclusive Time of Functions,[Array][Stack],62.2%,Medium,2.5924625560092625
498,Diagonal Traverse,[Array][Matrix][Simulation],59.8%,Medium,2.5453718455379355
31,Next Permutation,[Array][Two Pointers],39.5%,Medium,2.5310912887731436
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,2.526915248101407
987,Vertical Order Traversal of a Binary Tree,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],47.1%,Hard,2.5127311558974297
1216,Valid Palindrome III,[String][Dynamic Programming],49.9%,Hard,2.477302050402781
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,2.4646970802535044
523,Continuous Subarray Sum,[Array][Hash Table][Math][Prefix Sum],28.8%,Medium,2.4471663218051534
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,2.432125883906383
863,All Nodes Distance K in Binary Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],64.3%,Medium,2.3839829727247883
317,Shortest Distance from All Buildings,[Array][Breadth-First Search][Matrix],43.0%,Hard,2.383002964806291
15,3Sum,[Array][Two Pointers][Sorting],34.2%,Medium,2.332653761870696
125,Valid Palindrome,[Two Pointers][String],47.0%,Easy,2.3262254442986707
1004,Max Consecutive Ones III,[Array][Binary Search][Sliding Window][Prefix Sum],62.7%,Medium,2.2905809120898346
283,Move Zeroes,[Array][Two Pointers],61.6%,Easy,2.250881985438306
163,Missing Ranges,[Array],33.4%,Easy,2.2504980427770174
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,2.2036522879707747
140,Word Break II,[Array][Hash Table][String][Dynamic Programming][Backtracking][Trie][Memoization],47.5%,Hard,2.0773732886157767
721,Accounts Merge,[Array][Hash Table][String][Depth-First Search][Breadth-First Search][Union Find][Sorting],56.9%,Medium,2.0459528719257922
348,Design Tic-Tac-Toe,[Array][Hash Table][Design][Matrix][Simulation],57.9%,Medium,2.040468731680326
133,Clone Graph,[Hash Table][Depth-First Search][Breadth-First Search][Graph],56.6%,Medium,1.9975601586095888
689,Maximum Sum of 3 Non-Overlapping Subarrays,[Array][Dynamic Programming],49.7%,Hard,1.9189724933235048
2060,Check if an Original String Exists Given Two Encoded Strings,[String][Dynamic Programming],42.4%,Hard,1.8993901334204204
1541,Minimum Insertions to Balance a Parentheses String,[String][Stack][Greedy],51.4%,Medium,1.8388428122649447
173,Binary Search Tree Iterator,[Stack][Tree][Design][Binary Search Tree][Binary Tree][Iterator],71.6%,Medium,1.8297868648172944
296,Best Meeting Point,[Array][Math][Sorting][Matrix],60.8%,Hard,1.8152899666382492
76,Minimum Window Substring,[Hash Table][String][Sliding Window],42.7%,Hard,1.779566820155313
207,Course Schedule,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],46.6%,Medium,1.7688001137312757
953,Verifying an Alien Dictionary,[Array][Hash Table][String],54.9%,Easy,1.7517541346143557
38,Count and Say,[String],54.5%,Medium,1.684934412104153
658,Find K Closest Elements,[Array][Two Pointers][Binary Search][Sliding Window][Sorting][Heap (Priority Queue)],47.2%,Medium,1.6602963296675914
1539,Kth Missing Positive Number,[Array][Binary Search],59.6%,Easy,1.6094379124341003
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,1.6028434467088197
