No,Title,Tags,Acceptance,Difficulty,Frequency
356,Line Reflection,[Array][Hash Table][Math],35.4%,Medium,3.0859569517852066
849,Maximize Distance to Closest Person,[Array],48.0%,Medium,2.6807136469384596
2241,Design an ATM Machine,[Array][Greedy][Design],40.5%,Medium,2.662587827025453
228,Summary Ranges,[Array],50.3%,Easy,2.5114904065396626
1493,Longest Subarray of 1's After Deleting One Element,[Array][Dynamic Programming][Sliding Window],67.1%,Medium,2.399775679520185
2636,Promise Pool,,80.3%,Medium,2.1400661634962708
340,Longest Substring with At Most K Distinct Characters,[Hash Table][String][Sliding Window],48.5%,Medium,1.9529400549835714
443,String Compression,[Two Pointers][String],54.0%,Medium,1.8689232218051424
161,One Edit Distance,[Two Pointers][String],34.3%,Medium,1.6945957207744073
658,Find K Closest Elements,[Array][Two Pointers][Binary Search][Sliding Window][Sorting][Heap (Priority Queue)],47.2%,Medium,1.2893524159276601
986,Interval List Intersections,[Array][Two Pointers],71.5%,Medium,1.165303663166782
487,Max Consecutive Ones II,[Array][Dynamic Programming][Sliding Window],50.3%,Medium,0.851553185957342
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0.8329789090407187
567,Permutation in String,[Hash Table][Two Pointers][String][Sliding Window],44.3%,Medium,0.7932882876339357
205,Isomorphic Strings,[Hash Table][String],43.7%,Easy,0.7885864842588262
2657,Find the Prefix Common Array of Two Arrays,[Array][Hash Table][Bit Manipulation],80.5%,Medium,0.7537718023763802
362,Design Hit Counter,[Array][Binary Search][Design][Queue][Data Stream],68.6%,Medium,0.7102416139192455
560,Subarray Sum Equals K,[Array][Hash Table][Prefix Sum],43.4%,Medium,0.626878056163795
150,Evaluate Reverse Polish Notation,[Array][Math][Stack],51.0%,Medium,0.5537276453102001
2625,Flatten Deeply Nested Array,,63.7%,Medium,0.4675170966757307
1436,Destination City,[Array][Hash Table][String],79.7%,Easy,0.4130123137435473
652,Find Duplicate Subtrees,[Hash Table][Tree][Depth-First Search][Binary Tree],59.3%,Medium,0.37827896780400755
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.2%,Medium,0.3131906492925993
155,Min Stack,[Stack][Design],53.8%,Medium,0.2113090936672069
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.18306532774679926
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0.12681608843350814
125,Valid Palindrome,[Two Pointers][String],47.0%,Easy,0.1262611392213311
680,Valid Palindrome II,[Two Pointers][String][Greedy],40.4%,Easy,0.12095261041766249
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,0.10219478371748525
332,Reconstruct Itinerary,[Depth-First Search][Graph][Eulerian Circuit],43.3%,Hard,0.09933718986563198
1004,Max Consecutive Ones III,[Array][Binary Search][Sliding Window][Prefix Sum],62.7%,Medium,0.09078811504344908
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.08974628785627545
3,Longest Substring Without Repeating Characters,[Hash Table][String][Sliding Window],34.5%,Medium,0.08685704409326664
283,Move Zeroes,[Array][Two Pointers],61.6%,Easy,0.08476776738106184
124,Binary Tree Maximum Path Sum,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,0.08292040750115158
350,Intersection of Two Arrays II,[Array][Hash Table][Two Pointers][Binary Search][Sorting],56.4%,Easy,0.07383426201105235
101,Symmetric Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],56.1%,Easy,0.05368014946362379
349,Intersection of Two Arrays,[Array][Hash Table][Two Pointers][Binary Search][Sorting],72.4%,Easy,0.05189231600351913
98,Validate Binary Search Tree,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],32.8%,Medium,0.04587960575069364
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.04467244005159257
71,Simplify Path,[String][Stack],41.9%,Medium,0.04450122467051005
76,Minimum Window Substring,[Hash Table][String][Sliding Window],42.7%,Hard,0.03364488914272426
236,Lowest Common Ancestor of a Binary Tree,[Tree][Depth-First Search][Binary Tree],61.6%,Medium,0.03025949476311255
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.02739688892808773
199,Binary Tree Right Side View,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.8%,Medium,0.023853247807663402
977,Squares of a Sorted Array,[Array][Two Pointers][Sorting],72.7%,Easy,0.022691116964608446
22,Generate Parentheses,[String][Dynamic Programming][Backtracking],74.2%,Medium,0.0215874546043835
392,Is Subsequence,[Two Pointers][String][Dynamic Programming],47.9%,Easy,0.021243496694561038
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,0.01825608511581003
121,Best Time to Buy and Sell Stock,[Array][Dynamic Programming],53.5%,Easy,0.0165171675751297
33,Search in Rotated Sorted Array,[Array][Binary Search],40.5%,Medium,0.014754970746799198
5,Longest Palindromic Substring,[String][Dynamic Programming],33.7%,Medium,0.013821920116179907
21,Merge Two Sorted Lists,[Linked List][Recursion],64.0%,Easy,0.010629916728600282
9,Palindrome Number,[Math],55.8%,Easy,0.007630712341163886
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.007392382583176544
