Name,Search Keyword,Resource Path,skills
big data,big data in tech,group/big data.html,[kms][hdp][alluxio][mapr][greenplum]
data analytics,data analytics in tech,group/data analytics.html,[rapidminer][experian][knime][qlikview][alteryx]
amazon,amazon in tech,group/amazon.html,[sns][documentdb][amazon lambda][timestream][sqs][codebuild][amazon lake formation][drs][code commit][amazon codepipeline][redshift][ebs][aws cdk][aws sam][ecs][glue][elasticcache][emr][sagemaker][codepipeline][fsx][aws device farm][aws appsync][cognito][neptune][amplify][cloudfront][athena][amazon web services][metastore][route53][eks][s3][fargate][elasticache][lake formation][cloudformation][ec2][codedeploy][kinesis][amazon file cache][aurora][rds]
protocol,protocol in tech,group/protocol.html,[dhcp][amqp][icp][tcp][rabbitmq][ftp][xmpp][eigrp][udp][syslog][mqtt][odata][mpls][openid][filezilla][ble][http][vrrp][checksum][soap][oidc][ospf][openssl][stm32wl]
python,python in tech,group/python.html,[gensim][locust][sqlalchemy][scikit-learn][pysimplegui][django][stack][pyqt][plotly][dask][beautiful soup][anaconda][pyside2][pytest][deepface][nltk][ansible][python][kedro][requests][gradio][dataframe][selenium base][theano][raspberry pi][panel][ipython][jax][libavg][xarray][geopandas][pyspark][tuple][langchain][seaborn][luigi][numpy][scipy][tkinter][scikit-image][pyforms][streamlit][asyncio][pybrain][mechanicalsoup][jinja]
android,android in tech,group/android.html,[butterknife][hilt][android studio][mvrx][fastlane][android sdk][okhttp][retrofit 2][leakcanary][glide][mvicore][android]
mobile,mobile in tech,group/mobile.html,[realm][angular native][appdna][capacitor][crashlytics][jquery mobile][swiftic][ionic][mobile][konga][garden][nativescript][nomad]
react,react in tech,group/react.html,[material ui][antd][nextjs][react][react.js][chakra ui][rxswift][react native][gatsby]
application programming interface,application programming interface in tech,group/application programming interface.html,[swagger][api gateway][keras][control m][jsdoc][api][esri-leaflet][ws02 apim][gstreamer][scalding][postman][vue.js][jax-rs][vulkan][webhooks][cuda]
penetration,penetration in tech,group/penetration.html,[appcheck][rapid7][penetration testing][astra][nmap][zap][onsecurity]
infrastructure,infrastructure in tech,group/infrastructure.html,[metricbeat][splunk][spacelift][infrastructure code][hashicorp][titan][rundeck][terraform][backbone][pagerduty][zabbix][appdynamics][chef]
cross platform,cross platform in tech,group/cross platform.html,[wxpython][appium][lando][clion][gtk][shadowprotect][uno platform][unity][powershell][lonic][opengl][platform uno][libgdx][corona][pixijs][titanium][silverlight][xampp][avalonia ui][cmake][wax][qt]
apple,apple in tech,group/apple.html,[appkit][arkit][xcode][uikit]
blockchain,blockchain in tech,group/blockchain.html,[binance smart chain][aptos][tezos][neo][ethereum][hyperledger][corda][fantom][quorum][solana][tron][eos][stellar]
continuous delivery,continuous delivery in tech,group/continuous delivery.html,[gocd][argocd]
data structures,data structures in tech,group/data structures.html,[lru cache][pandas][data modeling][data structure][tree][list][graph][queue][array]
devops,devops in tech,group/devops.html,[gatling][artifactory][jfrog][buddy]
java,java in tech,group/java.html,[wildfly][ibatis][gradle][jmx][hazelcast][jpa][spring][spring mvc][jboss][zipkin][mockito][osgi][assertj][camunda][ooad][jdbc][tibco ems][pojo][galen][hibernate][java swing][uft][rxjava][ognl][jetty][weblogic][spock][java][junit][jakarta ee][j2se][swt][vert.x][mule][spring jpa][glassfish][jms][javaee][ehcache][jsf][javafx][java awt][concurrency][j2ee][restassured][jee][dagger][servlets][jndi][guava]
c++,c++ in tech,group/c++.html,[c++][bazel][assimp][faiss][conan][glm][boost][raii][xgboost][resharper c++]
css,css in tech,group/css.html,[autoprefixer][sass][css][tailwind css][scss][bulma]
system design,system design in tech,group/system design.html,[structured design][availability][structured analysis][systems design strategy][scaling][caching][systems design][monolithic systems]
unix,unix in tech,group/unix.html,[awk][squid proxy][solaris][shell script][unix][hpux][bsd]
backend,backend in tech,group/backend.html,[nestjs][axios]
monitoring,monitoring in tech,group/monitoring.html,[eg innovations][whatsup gold][axway][sysdig][icinga][nagios][elastalert][statsd][opsgenie][performance monitoring][checkmk][elastic apm][sentry][geneos][monitoring][sensu][new relic][filebeat][cloudwatch][raygun][prometheus]
data science,data science in tech,group/data science.html,[azkaban][tidyverse][datalore]
storage,storage in tech,group/storage.html,[delta lake][storage area network][caches][hash table][file storage][storage][migration][trie][redux-saga][ceph][object storage][azure blobs][block storage][maxwell]
microsoft,microsoft in tech,group/microsoft.html,[power bi][hyperv][msmq][sharegate][word][efs][bower][tfs][microsoft game developer kit][microsoft office][t sql][powerpoint][microsoft sql server][cntk][dynamics][exchange][visio][microsoft systems center][sharepoint][mircosoft visual studio][azure synapse analytics][microsoft sql][mircosoft sql][ssis][ssrs][azure sql database][mfc][dax][microsoft quantum][excel]
behavior driven development,behavior driven development in tech,group/behavior driven development.html,[behat][rspec][gherkin][cucumber][jasmine]
serverless,serverless in tech,group/serverless.html,[dataflow][knative][sqlite][bigquery]
nosql,nosql in tech,group/nosql.html,[newsql][bigtable][orientdb][dynamodb][mongodb]
unknown,unknown in tech,group/unknown.html,[binary][data mining][bugzilla][pillow][zeplin][odoo][gis][xlm][oauth][uml][ses][fluentd][salt]
visualization,visualization in tech,group/visualization.html,[ggplot][spotfire][elk][spss][visualization][jmp][datawrapper][birt report][kibana][matplotlib][stata][viz]
continuous integration,continuous integration in tech,group/continuous integration.html,[puppet][bitrise][teamcity][circleci][zuul][jenkins][ci]
computer vision,computer vision in tech,group/computer vision.html,[viso suite][opencv][computer vision][simplecv][skimage][boofcv]
html,html in tech,group/html.html,[tauri][dhtml][semantic ui][iq server][html][bootstrap][jade template]
ibm,ibm in tech,group/ibm.html,[cognos tm1][ibm server][ibm watson][iam][jcl][netezza][buildforge][ibm][ibm mq][turbonomic][datastage][db2][maximo][clearquest][ibm blockchain][websphere]
go,go in tech,group/go.html,[go][coredns][go kit][buildkite][goland]
games,games in tech,group/games.html,[unreal engine][fmod][open dynamics engine][rpg maker][godot][bullet]
deep learning,deep learning in tech,group/deep learning.html,[caffe][chainer][dl4j]
macos,macos in tech,group/macos.html,[core animation][carthage]
cisco,cisco in tech,group/cisco.html,[ccna][cisco stealthwatch]
linux,linux in tech,group/linux.html,[container linux][coreos][centos][lxc][debian][podman][nixos]
database,database in tech,group/database.html,[datagrip][dbms][document databaset][dbeaver][clickhouse][dbaas][mybatis][reactivex][maxscale][chroma][neo4j][liquibase][vertica][database sharding][udb][in memory database][graph database][percona xtradb][memorydb][redis][codeigniter][teradata][document database][vector database][firebase realtime database][query]
version control,version control in tech,group/version control.html,[perforce][clearcase]
user interface,user interface in tech,group/user interface.html,[cocoa touch][ribbon][mvvm][swiftui]
game development,game development in tech,group/game development.html,[cocos2d]
php,php in tech,group/php.html,[laravel][phpstorm][codelgniter][drupal][php][phpspec][magento][phpunit][zend][symfony][opencart][composer]
dependencies,dependencies in tech,group/dependencies.html,[telegraf][spring boot][gemnasium][docker][koin][yarn][drools][container][sonatype nexus]
data management,data management in tech,group/data management.html,[core data][sas][whatgraph]
software development kit,software development kit in tech,group/software development kit.html,[qiskit][flutter][cuquantum]
data warehouse,data warehouse in tech,group/data warehouse.html,[data mart]
machine learning,machine learning in tech,group/machine learning.html,[knn][torch][weka][kaggle][dataiku][tensorflow][mlib][pytorch][kubeflow][scikit][dataset]
data lake,data lake in tech,group/data lake.html,[qubole][datalake]
analytics,analytics in tech,group/analytics.html,[sisense][dynatrace][dremio][qilkview][zoho analytics][qlik][grafana][qliksense][rubrik][mixpanel][tableau]
microservice,microservice in tech,group/microservice.html,[dubbo][microservices][pubsub+][lagom][instana]
vmware,vmware in tech,group/vmware.html,[vmware certified professional][retrospect solo][esxi][tanzu][vcenter][vcloud][vsphere][sdn]
extract transform load,extract transform load in tech,group/extract transform load.html,[etl][stitch data][informatica][pentaho]
operating system,operating system in tech,group/operating system.html,[fullstack][os][ubuntu][z-os][multiprocessing][operating systems][shell][openvz][posix][fedora][multithreading][vxworks]
relational database,relational database in tech,group/relational database.html,[rdbms][firebirdsql][microstrategy][non-relational][tibero][postgis][relational][mariadb][mysql][postgresql][sybase][orm]
frontend,frontend in tech,group/frontend.html,[storybook][signoz][frontend][sparkr]
geospatial,geospatial in tech,group/geospatial.html,[mapbox][geoserver][geojson]
graphical user interface,graphical user interface in tech,group/graphical user interface.html,[graphical user interface][imgui]
query language,query language in tech,group/query language.html,[xpath][graphql]
sap,sap in tech,group/sap.html,[sap bi][hana][sap basis][sap abap][sap bw]
kubernetes,kubernetes in tech,group/kubernetes.html,[kustomize][linkerd][quarkus][rancher][kubernetes][portainer][helm]
testing,testing in tech,group/testing.html,[ranorex][testng][specflow][semaphore][qtp][labview][validata qs][sonar qube][software development life cycle][less][ui automator][httpunit][robot]
integrated development environment,integrated development environment in tech,group/integrated development environment.html,[rubymine][intellij][rider][webstorm][pycharm][ide][visual studio][intelij idea]
windows,windows in tech,group/windows.html,[uwp][octopus deploy][winform][testcomplete][windows server][wcf][iis][wpf][windows batch][mircosoft visual code][winforms][wsk][winui][r-drive image]
time series,time series in tech,group/time series.html,[influxdb][timescaledb][time series][kdb]
message queue,message queue in tech,group/message queue.html,[message queue][ironmq][zeromq]
data processing,data processing in tech,group/data processing.html,[logstash][talend][kapacitor][logz.io]
virtual machine,virtual machine in tech,group/virtual machine.html,[kvm][virtual machine][vagrant][packer]
c#,c# in tech,group/c#.html,[nunit][mstest][linq]
markup language,markup language in tech,group/markup language.html,[yaml][xhtml][markdown]
model view controller,model view controller in tech,group/model view controller.html,[mvc][mcv]
nvidia,nvidia in tech,group/nvidia.html,[physx][mdl][tensorrt]
natural language processing,natural language processing in tech,group/natural language processing.html,[transformers][natural language processing][openai][spacy]
neural networks,neural networks in tech,group/neural networks.html,[rnn][opennn]
red hat,red hat in tech,group/red hat.html,[ovirt][rhel][openshift][red hat fuse]
structured query language,structured query language in tech,group/structured query language.html,[pl sql][sql]
quantum,quantum in tech,group/quantum.html,[tensorflow quantum][quantum]
spark,spark in tech,group/spark.html,[spark graphx][sparksql]
hadoop,hadoop in tech,group/hadoop.html,[sqoop]
visual basic,visual basic in tech,group/visual basic.html,[vba][visual basic .net][vb script][visual basic]
xml,xml in tech,group/xml.html,[xsl][xslt][xsd][xml][xmlrpc]
