Word,Replace
aws,amazon web services
tdd,testing
webdriver,web crawler
vbnet,visual basic .net
vb.net,visual basic .net
vb,visual basic
containerization,container
html5,html
svn,subversion
version control,git
nosql,non-relational
rdbms,relational
unity3d,unity
mssql,microsoft sql
shaders,shader
uat,testing
mui,material ui
gui,graphical user interface
ui,graphical user interface
