Name,Search Keyword,Resource Path,Groups,Prerequisites
javascript,javascript programming,code/javascript.html,[programming][leetcode],
typescript,typescript programming,code/typescript.html,[programming][leetcode],
html,html programming,code/html.html,[programming],
css,css programming,code/css.html,[programming],
python,python programming,code/python.html,[programming][leetcode],
sql,sql programming,code/sql.html,[programming],
bash,bash programming,code/bash.html,[programming],
java,java programming,code/java.html,[java application development][programming][leetcode],
c#,c# programming,code/c#.html,[aspnet development][programming][leetcode],
c++,c++ programming,code/c++.html,[programming][leetcode],
c,c programming,code/c.html,[programming][leetcode],
php,php programming,code/php.html,[programming][leetcode],
powershell,powershell programming,code/powershell.html,[programming],
go,go programming,code/go.html,[programming][leetcode],
rust,rust programming,code/rust.html,[programming][leetcode],
kotlin,kotlin programming,code/kotlin.html,[mobile development][programming][leetcode],
ruby,ruby programming,code/ruby.html,[programming][leetcode],
lua,lua programming,code/lua.html,[programming],
dart,dart programming,code/dart.html,[programming][leetcode],
assembly,assembly programming,code/assembly.html,[programming],
swift,swift programming,code/swift.html,[programming][leetcode],
r,r programming,code/r.html,[programming],
visual basic,visual basic programming,code/visual basic.html,[programming],
matlab,matlab programming,code/matlab.html,[programming],
vba,vba programming,code/vba.html,[programming],
groovy,groovy programming,code/groovy.html,[programming],
delphi,delphi programming,code/delphi.html,[programming],
scala,scala programming,code/scala.html,[programming][leetcode],
perl,perl programming,code/perl.html,[programming],
elixir,elixir programming,code/elixir.html,[programming][leetcode],
objective c,objective c programming,code/objective c.html,[programming],
haskell,haskell programming,code/haskell.html,[programming],
gdscript,gdscript programming,code/gdscript.html,[programming],
lisp,lisp programming,code/lisp.html,[programming],
solidity,solidity programming,code/solidity.html,[programming],
clojure,clojure programming,code/clojure.html,[programming],
julia,julia programming,code/julia.html,[programming],
erlang,erlang programming,code/erlang.html,[programming][leetcode],
f#,f# programming,code/f#.html,[programming],
fortran,fortran programming,code/fortran.html,[programming],
prolog,prolog programming,code/prolog.html,[programming],
zig,zig programming,code/zig.html,[programming],
ada,ada programming,code/ada.html,[programming],
ocaml,ocaml programming,code/ocaml.html,[programming],
sas,sas programming,code/sas.html,[programming],
crystal,crystal programming,code/crystal.html,[programming],
apl,apl programming,code/apl.html,[programming],
flow,flow programming,code/flow.html,[blockchain][programming],
raku,raku programming,code/raku.html,[programming],
racket,racket programming,code/racket.html,[programming][leetcode],
xhtml,xhtml programming,code/xhtml.html,[programming],
net,net framework/library,code/net.html,[microsoft],
numpy,numpy framework/library,code/numpy.html,,
pandas,pandas framework/library,code/pandas.html,,
net framework,net framework framework/library,code/net framework.html,[microsoft],
spring,spring framework/library,code/spring.html,,
rabbitmq,rabbitmq framework/library,code/rabbitmq.html,[message queue],
tensorflow,tensorflow framework/library,code/tensorflow.html,[artificial intelligence][computer vision][natural language processing][machine learning],
scikit-learn,scikit-learn framework/library,code/scikit-learn.html,[artificial intelligence][natural language processing][machine learning][visualization],
flutter,flutter framework/library,code/flutter.html,[mobile development],
kafka,kafka framework/library,code/kafka.html,[message queue],
torch,torch framework/library,code/torch.html,[artificial intelligence][natural language processing][machine learning],
react native,react native framework/library,code/react native.html,[mobile development],
opencv,opencv framework/library,code/opencv.html,[computer vision][artificial intelligence],
electron,electron framework/library,code/electron.html,,
opengl,opengl framework/library,code/opengl.html,[game development],
qt,qt framework/library,code/qt.html,,
cuda,cuda framework/library,code/cuda.html,,
keras,keras framework/library,code/keras.html,[artificial intelligence][computer vision][natural language processing][machine learning],
spark,spark framework/library,code/spark.html,[distributed],
swiftui,swiftui framework/library,code/swiftui.html,,
xamarin,xamarin framework/library,code/xamarin.html,[mobile development],
lonic,lonic framework/library,code/lonic.html,,
transformers,transformers framework/library,code/transformers.html,[machine learning][artificial intelligence],
gtk,gtk framework/library,code/gtk.html,,
cordova,cordova framework/library,code/cordova.html,,
net maui,net maui framework/library,code/net maui.html,,
hadoop,hadoop framework/library,code/hadoop.html,[distributed],
tauri,tauri framework/library,code/tauri.html,,
capacitor,capacitor framework/library,code/capacitor.html,,
tidyverse,tidyverse framework/library,code/tidyverse.html,,
quarkus,quarkus framework/library,code/quarkus.html,[microservices],[java]
ktor,ktor framework/library,code/ktor.html,,
mfc,mfc framework/library,code/mfc.html,,
jax,jax framework/library,code/jax.html,,
micronaut,micronaut framework/library,code/micronaut.html,[microservices],[groovy][kotlin][java]
uno platform,uno platform framework/library,code/uno platform.html,,
react,react frontend,code/react.html,[frontend][web development],
tailwind css,tailwind css frontend,code/tailwind css.html,[frontend],
angular,angular frontend,code/angular.html,[frontend][web development],
vuejs,vuejs frontend,code/vuejs.html,[frontend][web development],
bootstrap,bootstrap frontend,code/bootstrap.html,[frontend],
mdl,mdl frontend,code/mdl.html,[frontend],
bulma,bulma frontend,code/bulma.html,[frontend],
semantic ui,semantic ui frontend,code/semantic ui.html,[frontend],
foundation,foundation frontend,code/foundation.html,[frontend],
ulkit,ulkit frontend,code/ulkit.html,[frontend],
reactjs,reactjs frontend,code/reactjs.html,[frontend][web development],
nodejs,nodejs framework/library,code/nodejs.html,[web development],
jquery,jquery framework/library,code/jquery.html,[web development],
express,express framework/library,code/express.html,[web development],
nextjs,nextjs framework/library,code/nextjs.html,[web development],
asp.net.core,asp.net.core framework/library,code/asp.net.core.html,[web development],
wordpress,wordpress framework/library,code/wordpress.html,[web development],
aspnet,aspnet framework/library,code/aspnet.html,[microsoft][web development][aspnet development],
flask,flask framework/library,code/flask.html,[web development],
spring boot,spring boot framework/library,code/spring boot.html,[backend][web development][microservices],[java]
django,django framework/library,code/django.html,[backend][web development][microservices],[python]
laravel,laravel framework/library,code/laravel.html,[backend][web development],[php]
fastapi,fastapi framework/library,code/fastapi.html,[web development][microservices],[python]
angularjs,angularjs framework/library,code/angularjs.html,[web development],
svelte,svelte framework/library,code/svelte.html,[web development],
ruby on rails,ruby on rails framework/library,code/ruby on rails.html,[backend][web development],[ruby]
nestjs,nestjs framework/library,code/nestjs.html,[backend][web development],[typescript][nodejs]
blazor,blazor framework/library,code/blazor.html,[web development],
nuxtjs,nuxtjs framework/library,code/nuxtjs.html,[web development],
symfony,symfony framework/library,code/symfony.html,[web development],
deno,deno framework/library,code/deno.html,[web development],
gatsby,gatsby framework/library,code/gatsby.html,[web development],
fastify,fastify framework/library,code/fastify.html,[web development],
phoenix,phoenix framework/library,code/phoenix.html,[backend][web development],[elixir]
drupal,drupal framework/library,code/drupal.html,[web development],
codelgniter,codelgniter framework/library,code/codelgniter.html,[web development],
solidjs,solidjs framework/library,code/solidjs.html,[web development],
remix,remix framework/library,code/remix.html,[web development],
elm,elm framework/library,code/elm.html,[web development],
play,play framework/library,code/play.html,[web development],
lit,lit framework/library,code/lit.html,[web development],
qwik,qwik framework/library,code/qwik.html,[web development],
expressjs,expressjs backend,code/expressjs.html,[backend][microservices],[nodejs][node.js]
asp.net core,asp.net core backend,code/asp.net core.html,[backend],[c#]
koajs,koajs backend,code/koajs.html,[backend],[nodejs]
swiftic,swiftic mobile development framework,code/swiftic.html,[mobile development],
ionic,ionic mobile development framework,code/ionic.html,[mobile development],
corona,corona mobile development framework,code/corona.html,[mobile development],
titanium,titanium mobile development framework,code/titanium.html,[mobile development],
nativescript,nativescript mobile development framework,code/nativescript.html,[mobile development],
jquery mobile,jquery mobile mobile development framework,code/jquery mobile.html,[mobile development],
spring cloud,spring cloud framework,code/spring cloud.html,[microservices],[java]
django rest,django rest framework,code/django rest.html,[microservices],[python]
go kit,go kit framework,code/go kit.html,[microservices],[go]
helidon,helidon framework,code/helidon.html,[microservices],[java]
lagom,lagom framework,code/lagom.html,[microservices],[scala][java]
selenium,selenium framework,code/selenium.html,[crawler][automation testing],[python][java][c#]
appium,appium framework,code/appium.html,[mobile development][automation testing],
testng,testng framework,code/testng.html,[automation testing],[java][junit]
junit,junit framework,code/junit.html,[automation testing],[java]
cucumber,cucumber framework,code/cucumber.html,[automation testing],
testcomplete,testcomplete framework,code/testcomplete.html,[automation testing],[visual basic][python][javascript]
robot,robot framework,code/robot.html,[automation testing],
cypress,cypress framework,code/cypress.html,[automation testing],[javascript]
junit jupiter,junit jupiter framework,code/junit jupiter.html,[automation testing],[java][junit]
pytest,pytest framework,code/pytest.html,[automation testing],[python]
rspec,rspec framework,code/rspec.html,[automation testing],
galen,galen framework,code/galen.html,[web development][automation testing],
jmeter,jmeter framework,code/jmeter.html,[web development][automation testing],
mapreduce,mapreduce framework,code/mapreduce.html,[distributed],
hive,hive framework,code/hive.html,[distributed],
storm,storm framework,code/storm.html,[distributed],
samza,samza framework,code/samza.html,[distributed],
flink,flink framework,code/flink.html,[distributed],
