No,Title,Tags,Acceptance,Difficulty,Frequency
1210,Minimum Moves to Reach Target with Rotations,[Array][Breadth-First Search][Matrix],49.5%,Hard,0
2212,Maximum Points in an Archery Competition,[Array][Backtracking][Bit Manipulation][Enumeration],49.7%,Medium,0
