No,Title,Tags,Acceptance,Difficulty,Frequency
929,Unique Email Addresses,[Array][Hash Table][String],67.1%,Easy,1.5031973502594613
419,Battleships in a Board,[Array][Depth-First Search][Matrix],75.2%,Medium,0.9114325597728972
729,My Calendar I,[Binary Search][Design][Segment Tree][Ordered Set],56.6%,Medium,0.7017656857008927
68,Text Justification,[Array][String][Simulation],42.7%,Hard,0.1100008952143285
41,First Missing Positive,[Array][Hash Table],37.8%,Hard,0.040532397265267965
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.032411911722078635
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.030168200368296743
207,Course Schedule,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],46.6%,Medium,0.028758272290499615
17,Letter Combinations of a Phone Number,[Hash Table][String][Backtracking],60.0%,Medium,0.025174394259350617
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.007920833491443957
3,Longest Substring Without Repeating Characters,[Hash Table][String][Sliding Window],34.5%,Medium,0.0077145994953303374
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.003404258606801255
