No,Title,Tags,Acceptance,Difficulty,Frequency
751,IP to CIDR,[String][Bit Manipulation],54.8%,Medium,3.8653848824287316
362,Design Hit Counter,[Array][Binary Search][Design][Queue][Data Stream],68.6%,Medium,3.3067490727975803
348,Design Tic-Tac-Toe,[Array][Hash Table][Design][Matrix][Simulation],57.9%,Medium,2.040468731680326
2251,Number of Flowers in Full Bloom,[Array][Hash Table][Binary Search][Sorting][Prefix Sum][Ordered Set],56.8%,Hard,0.7741883905630712
1244,Design A Leaderboard,[Hash Table][Design][Sorting],67.9%,Medium,0.680877087968131
1146,Snapshot Array,[Array][Hash Table][Binary Search][Design],37.1%,Medium,0.5668534552356532
352,Data Stream as Disjoint Intervals,[Binary Search][Design][Ordered Set],60.0%,Hard,0.38946476676172326
213,House Robber II,[Array][Dynamic Programming],41.8%,Medium,0.22567199766756846
1235,Maximum Profit in Job Scheduling,[Array][Binary Search][Dynamic Programming][Sorting],54.8%,Hard,0.15123096972392353
198,House Robber,[Array][Dynamic Programming],50.9%,Medium,0.02035693706874412
