No,Title,Link,Tags,Acceptance,Difficulty,Frequency
1797,Design Authentication Manager,https://leetcode.com/problems/design-authentication-manager/description/,[Hash Table][Design],56.8%,Medium,0.955219752083562
2484,Count Palindromic Subsequences,https://leetcode.com/problems/count-palindromic-subsequences/description/,[String][Dynamic Programming],37.0%,Hard,0.8348824366220822
460,LFU Cache,https://leetcode.com/problems/lfu-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0.717419042969379
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.5853883182964201
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/description/,[String][Stack][Greedy][Monotonic Stack],49.4%,Medium,0.5018899773269088
1328,Break a Palindrome,https://leetcode.com/problems/break-a-palindrome/description/,[String][Greedy],51.8%,Medium,0.4865757423538663
2099,Find Subsequence of Length K With the Largest Sum,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)],43.3%,Easy,0.3545450176809074
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.3188804433076422
1010,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/description/,[Array][Hash Table][Counting],52.8%,Medium,0.3077496355025901
359,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/description/,[Hash Table][Design][Data Stream],75.8%,Easy,0.2545298651348804
697,Degree of an Array,https://leetcode.com/problems/degree-of-an-array/description/,[Array][Hash Table],56.4%,Easy,0.245122458032985
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0.1723649555423967
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/description/,[Array][Hash Table][Math][Geometry],26.4%,Hard,0.1629613095094132
2006,Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/description/,[Array][Hash Table][Counting],83.5%,Easy,0.1541506798272583
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/description/,[String][Stack],57.4%,Medium,0.1489737916477245
463,Island Perimeter,https://leetcode.com/problems/island-perimeter/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],70.3%,Easy,0.1451820098444979
394,Decode String,https://leetcode.com/problems/decode-string/description/,[String][Stack][Recursion],59.0%,Medium,0.1382566197010256
450,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/description/,[Tree][Binary Search Tree][Binary Tree],51.1%,Medium,0.1333332747437359
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.1305974051897351
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,[Array][Sorting],47.1%,Medium,0.1194736531342909
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0.117436835202865
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,[Array][Binary Search][Sorting][Heap (Priority Queue)][Matrix],62.3%,Medium,0.1070539961641593
39,Combination Sum,https://leetcode.com/problems/combination-sum/description/,[Array][Backtracking],71.0%,Medium,0.0968693866573282
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,[Array][Two Pointers][Greedy],54.9%,Medium,0.0963569126894387
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/description/,[Hash Table][String][Greedy],53.9%,Easy,0.0924445325220012
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,[String][Stack],40.5%,Easy,0.0869959190082872
