No,Title,Tags,Acceptance,Difficulty,Frequency
2302,Count Subarrays With Score Less Than K,[Array][Binary Search][Sliding Window][Prefix Sum],53.9%,Hard,1.706956631976115
38,Count and Say,[String],54.5%,Medium,1.4860159073280927
1235,Maximum Profit in Job Scheduling,[Array][Binary Search][Dynamic Programming][Sorting],54.8%,Hard,1.46003783536544
719,Find K-th Smallest Pair Distance,[Array][Two Pointers][Binary Search][Sorting],37.7%,Hard,1.4266098982983504
1055,Shortest Way to Form String,[Two Pointers][String][Greedy],60.0%,Medium,1.3156767939059373
1293,Shortest Path in a Grid with Obstacles Elimination,[Array][Breadth-First Search][Matrix],45.2%,Hard,1.1373983137032662
465,Optimal Account Balancing,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],49.5%,Hard,1.107015699464489
767,Reorganize String,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0.926826930985397
2232,Minimize Result by Adding Parentheses to Expression,[String][Enumeration],66.9%,Medium,0.705886206337375
642,Design Search Autocomplete System,[String][Design][Trie][Data Stream],48.9%,Hard,0.6576404921030354
1306,Jump Game III,[Array][Depth-First Search][Breadth-First Search],64.6%,Medium,0.5168226432383649
980,Unique Paths III,[Array][Backtracking][Bit Manipulation][Matrix],81.7%,Hard,0.3933437475758196
295,Find Median from Data Stream,[Two Pointers][Design][Sorting][Heap (Priority Queue)][Data Stream],51.8%,Hard,0.31508104663989533
443,String Compression,[Two Pointers][String],54.0%,Medium,0.09705888158204505
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.08974628785627545
63,Unique Paths II,[Array][Dynamic Programming][Matrix],41.4%,Medium,0.05511036271051877
392,Is Subsequence,[Two Pointers][String][Dynamic Programming],47.9%,Easy,0.04717856027509048
17,Letter Combinations of a Phone Number,[Hash Table][String][Backtracking],60.0%,Medium,0.0227670619135464
