No,Title,Tags,Acceptance,Difficulty,Frequency
2771,Longest Non-decreasing Subarray From Two Arrays,[Array][Dynamic Programming],28.7%,Medium,2.373017206342844
1197,Minimum Knight Moves,[Breadth-First Search],40.3%,Medium,2.228065420796513
460,LFU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,1.7294728390211869
2918,Minimum Equal Sum of Two Arrays After Replacing Zeros,[Array][Greedy],33.2%,Medium,1.2308802572458604
782,Transform to Chessboard,[Array][Math][Bit Manipulation][Matrix],51.0%,Hard,1.1700712526502546
740,Delete and Earn,[Array][Hash Table][Dynamic Programming],56.5%,Medium,0.8708283577973976
124,Binary Tree Maximum Path Sum,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,0.6732580941948759
489,Robot Room Cleaner,[Backtracking][Interactive],76.6%,Hard,0.37827896780400755
297,Serialize and Deserialize Binary Tree,[String][Tree][Depth-First Search][Breadth-First Search][Design][Binary Tree],56.5%,Hard,0.18571714579509285
37,Sudoku Solver,[Array][Hash Table][Backtracking][Matrix],60.5%,Hard,0.12327489245733352
117,Populating Next Right Pointers in Each Node II,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],52.1%,Medium,0.1042610103244094
329,Longest Increasing Path in a Matrix,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,0.0918075492531228
647,Palindromic Substrings,[String][Dynamic Programming],69.9%,Medium,0.07302513501488987
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.06426193421836912
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0.06222847139840936
287,Find the Duplicate Number,[Array][Two Pointers][Binary Search][Bit Manipulation],59.4%,Medium,0.0614527792136636
51,N-Queens,[Array][Backtracking],67.7%,Hard,0.058155920157074034
239,Sliding Window Maximum,[Array][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],46.5%,Hard,0.04260495252775117
150,Evaluate Reverse Polish Notation,[Array][Math][Stack],51.0%,Medium,0.03587828766490185
46,Permutations,[Array][Backtracking],78.0%,Medium,0.025237932589862646
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.022075951699199795
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0.021402636114384706
11,Container With Most Water,[Array][Two Pointers][Greedy],54.9%,Medium,0.011176422568838024
