No,Title,Tags,Acceptance,Difficulty,Frequency
528,Random Pick with Weight,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,0.6890051452877243
341,Flatten Nested List Iterator,[Stack][Tree][Depth-First Search][Design][Queue][Iterator],64.3%,Medium,0.5742322143260392
41,First Missing Positive,[Array][Hash Table],37.8%,Hard,0.373537513582725
692,Top K Frequent Words,[Hash Table][String][Trie][Sorting][Heap (Priority Queue)][Bucket Sort][Counting],57.8%,Medium,0.17284281283941086
981,Time Based Key-Value Store,[Hash Table][String][Binary Search][Design],49.6%,Medium,0.09463320809845266
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.0780884369714366
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0.06962358737036375
228,Summary Ranges,[Array],50.3%,Easy,0.06485254217956125
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0.06222847139840936
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.029071814821976905
