No,Title,Tags,Acceptance,Difficulty,Frequency
559,Maximum Depth of N-ary Tree,[Tree][Depth-First Search][Breadth-First Search],72.0%,Easy,0.1308725167442087
322,Coin Change,[Array][Dynamic Programming][Breadth-First Search],43.6%,Medium,0.06543625837210434
