No,Title,Tags,Acceptance,Difficulty,Frequency
286,Walls and Gates,[Array][Breadth-First Search][Matrix],61.2%,Medium,3.3790304679604226
1166,Design File System,[Hash Table][String][Design][Trie],62.5%,Medium,3.327580222420029
826,Most Profit Assigning Work,[Array][Two Pointers][Binary Search][Greedy][Sorting],45.9%,Medium,2.8299341721657063
1235,Maximum Profit in Job Scheduling,[Array][Binary Search][Dynamic Programming][Sorting],54.8%,Hard,2.641166448618681
1790,Check if One String Swap Can Make Strings Equal,[Hash Table][String][Counting],45.5%,Easy,2.1435203983643585
2049,Count Nodes With the Highest Score,[Array][Tree][Depth-First Search][Binary Tree],48.6%,Medium,1.9597512004671847
124,Binary Tree Maximum Path Sum,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,1.8768878705606697
1779,Find Nearest Point That Has the Same X or Y Coordinate,[Array],68.1%,Easy,1.791759469228055
329,Longest Increasing Path in a Matrix,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,1.4954936530848826
1268,Search Suggestions System,[Array][String][Binary Search][Trie][Sorting][Heap (Priority Queue)],65.3%,Medium,1.4888968395992581
1347,Minimum Number of Steps to Make Two Strings Anagram,[Hash Table][String][Counting],82.0%,Medium,1.4544321662871087
772,Basic Calculator III,[Math][String][Stack][Recursion],50.2%,Hard,1.4053425560905852
556,Next Greater Element III,[Math][Two Pointers][String],33.9%,Medium,1.3101600458209364
1905,Count Sub Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],67.2%,Medium,0.9873866535578852
875,Koko Eating Bananas,[Array][Binary Search],49.0%,Medium,0.9279867716373463
827,Making A Large Island,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],46.7%,Hard,0.6548508954826648
658,Find K Closest Elements,[Array][Two Pointers][Binary Search][Sliding Window][Sorting][Heap (Priority Queue)],47.2%,Medium,0.5780778507751582
778,Swim in Rising Water,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],60.5%,Hard,0.5596157879354227
317,Shortest Distance from All Buildings,[Array][Breadth-First Search][Matrix],43.0%,Hard,0.5491078103370076
859,Buddy Strings,[Hash Table][String],33.0%,Easy,0.48022518331727365
297,Serialize and Deserialize Binary Tree,[String][Tree][Depth-First Search][Breadth-First Search][Design][Binary Tree],56.5%,Hard,0.4490949483208239
735,Asteroid Collision,[Array][Stack][Simulation],44.6%,Medium,0.38030109050788463
1944,Number of Visible People in a Queue,[Array][Stack][Monotonic Stack],68.9%,Hard,0.33363937353690887
227,Basic Calculator II,[Math][String][Stack],43.4%,Medium,0.24817962947553462
164,Maximum Gap,[Array][Sorting][Bucket Sort][Radix Sort],45.4%,Medium,0.18658595558041216
37,Sudoku Solver,[Array][Hash Table][Backtracking][Matrix],60.5%,Hard,0.05667238709891086
45,Jump Game II,[Array][Dynamic Programming][Greedy],40.3%,Medium,0.05236798551731598
84,Largest Rectangle in Histogram,[Array][Stack][Monotonic Stack],44.0%,Hard,0.04246922710911266
55,Jump Game,[Array][Dynamic Programming][Greedy],38.5%,Medium,0.03766135463631043
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.0030814291387936303
