No,Title,Tags,Acceptance,Difficulty,Frequency
807,Max Increase to Keep City Skyline,[Array][Greedy][Matrix],86.1%,Medium,0.4169369316233372
273,Integer to English Words,[Math][String][Recursion],30.5%,Hard,0.22567199766756846
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.2%,Medium,0.0344070637117997
