No,Title,Tags,Acceptance,Difficulty,Frequency
772,Basic Calculator III,[Math][String][Stack][Recursion],50.2%,Hard,2.1517277679715576
666,Path Sum IV,[Array][Hash Table][Tree][Depth-First Search][Binary Tree],60.8%,Medium,2.0061303558140837
588,Design In-Memory File System,[Hash Table][String][Design][Trie],48.2%,Hard,1.9922450067416135
465,Optimal Account Balancing,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],49.5%,Hard,1.9135219089920121
210,Course Schedule II,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,1.7679244968345385
1293,Shortest Path in a Grid with Obstacles Elimination,[Array][Breadth-First Search][Matrix],45.2%,Hard,1.6394902575005021
694,Number of Distinct Islands,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Hash Function],61.1%,Medium,1.6030684641486206
1530,Number of Good Leaf Nodes Pairs,[Tree][Depth-First Search][Binary Tree],62.8%,Medium,1.589732841354768
815,Bus Routes,[Array][Hash Table][Breadth-First Search],48.2%,Hard,1.5806819374467964
1345,Jump Game IV,[Array][Hash Table][Breadth-First Search],46.3%,Hard,1.4350845252893227
259,3Sum Smaller,[Array][Two Pointers][Binary Search][Sorting],50.7%,Medium,1.3627638637096964
924,Minimize Malware Spread,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Graph],42.0%,Hard,1.3618033411115948
2217,Find Palindrome With Fixed Length,[Array][Math],35.9%,Medium,1.3115342859107813
856,Score of Parentheses,[String][Stack],64.3%,Medium,1.238658362313826
2158,Amount of New Area Painted Each Day,[Array][Segment Tree][Ordered Set],55.1%,Hard,1.209837923778334
1541,Minimum Insertions to Balance a Parentheses String,[String][Stack][Greedy],51.4%,Medium,1.120411517010694
2421,Number of Good Paths,[Array][Hash Table][Tree][Union Find][Graph][Sorting],56.5%,Hard,1.0360919316867756
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,1.0324852048454005
928,Minimize Malware Spread II,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Graph],43.1%,Hard,1.007640510462383
2115,Find All Possible Recipes from Given Supplies,[Array][Hash Table][String][Graph][Topological Sort],49.4%,Medium,1.007640510462383
1011,Capacity To Ship Packages Within D Days,[Array][Binary Search],69.1%,Medium,0.9808292530117262
394,Decode String,[String][Stack][Recursion],59.0%,Medium,0.9735955746780143
2422,Merge Operations to Turn Array Into a Palindrome,[Array][Two Pointers][Greedy],69.4%,Medium,0.9555114450274365
1573,Number of Ways to Split a String,[Math][String],32.9%,Medium,0.9315582040049435
2050,Parallel Courses III,[Array][Dynamic Programming][Graph][Topological Sort],67.7%,Hard,0.9064059726416132
424,Longest Repeating Character Replacement,[Hash Table][String][Sliding Window],53.5%,Medium,0.9027576157585717
1209,Remove All Adjacent Duplicates in String II,[String][Stack],57.4%,Medium,0.8943653712451894
1010,Pairs of Songs With Total Durations Divisible by 60,[Array][Hash Table][Counting],52.8%,Medium,0.8925886195673667
403,Frog Jump,[Array][Dynamic Programming],46.0%,Hard,0.8769296579935747
773,Sliding Puzzle,[Array][Breadth-First Search][Matrix],64.7%,Hard,0.8668106746107854
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0.8329789090407187
163,Missing Ranges,[Array],33.4%,Easy,0.813718063017762
528,Random Pick with Weight,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,0.795650018929816
418,Sentence Screen Fitting,[String][Dynamic Programming][Simulation],36.0%,Medium,0.7939518796819109
386,Lexicographical Numbers,[Depth-First Search][Trie],63.5%,Medium,0.7884573603642702
1405,Longest Happy String,[String][Greedy][Heap (Priority Queue)],57.3%,Medium,0.7884573603642702
745,Prefix and Suffix Search,[Hash Table][String][Design][Trie],41.0%,Hard,0.7777045685880084
992,Subarrays with K Different Integers,[Array][Hash Table][Sliding Window][Counting],56.5%,Hard,0.7737512129745747
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.7655770184047598
333,Largest BST Subtree,[Dynamic Programming][Tree][Depth-First Search][Binary Search Tree][Binary Tree],43.6%,Medium,0.7472144018302211
381,Insert Delete GetRandom O(1) - Duplicates allowed,[Array][Hash Table][Math][Design][Randomized],35.4%,Hard,0.7472144018302211
621,Task Scheduler,[Array][Hash Table][Greedy][Sorting][Heap (Priority Queue)][Counting],58.3%,Medium,0.719673934893374
2791,Count Paths That Can Form a Palindrome in a Tree,[Dynamic Programming][Bit Manipulation][Tree][Depth-First Search][Bitmask],45.4%,Hard,0.7191226669632059
395,Longest Substring with At Least K Repeating Characters,[Hash Table][String][Divide and Conquer][Sliding Window],44.9%,Medium,0.7124403834946241
787,Cheapest Flights Within K Stops,[Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Heap (Priority Queue)][Shortest Path],39.2%,Medium,0.6858211404678725
886,Possible Bipartition,[Depth-First Search][Breadth-First Search][Union Find][Graph],50.5%,Medium,0.682218110027755
827,Making A Large Island,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],46.7%,Hard,0.6548508954826648
1062,Longest Repeating Substring,[String][Binary Search][Dynamic Programming][Rolling Hash][Suffix Array][Hash Function],60.3%,Medium,0.6466271649250525
2863,Maximum Length of Semi-Decreasing Subarrays,[Array][Hash Table][Sorting],72.5%,Medium,0.6466271649250525
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.6378090766752409
127,Word Ladder,[Hash Table][String][Breadth-First Search],38.8%,Hard,0.6155609440298986
301,Remove Invalid Parentheses,[String][Backtracking][Breadth-First Search],48.0%,Hard,0.6109090823229733
468,Validate IP Address,[String],26.9%,Medium,0.6061358035703156
2096,Step-By-Step Directions From a Binary Tree Node to Another,[String][Tree][Depth-First Search][Binary Tree],48.8%,Medium,0.5968160716215132
1802,Maximum Value at a Given Index in a Bounded Array,[Binary Search][Greedy],39.3%,Medium,0.5877866649021191
767,Reorganize String,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0.5759480865259944
1366,Rank Teams by Votes,[Array][Hash Table][String][Sorting][Counting],58.1%,Medium,0.538996500732687
919,Complete Binary Tree Inserter,[Tree][Breadth-First Search][Design][Binary Tree],65.1%,Medium,0.5316597106688327
1268,Search Suggestions System,[Array][String][Binary Search][Trie][Sorting][Heap (Priority Queue)],65.3%,Medium,0.5175824062288705
556,Next Greater Element III,[Math][Two Pointers][String],33.9%,Medium,0.5168226432383649
799,Champagne Tower,[Dynamic Programming],58.0%,Medium,0.5108256237659907
269,Alien Dictionary,[Array][String][Depth-First Search][Breadth-First Search][Graph][Topological Sort],35.7%,Hard,0.44404857414732085
39,Combination Sum,[Array][Backtracking],71.0%,Medium,0.4153755740404643
490,The Maze,[Array][Depth-First Search][Breadth-First Search][Matrix],57.6%,Medium,0.4096756406445079
1249,Minimum Remove to Make Valid Parentheses,[String][Stack],67.1%,Medium,0.40882645581086924
1352,Product of the Last K Numbers,[Array][Math][Design][Queue][Data Stream],50.8%,Medium,0.4013413909243023
1382,Balance a Binary Search Tree,[Divide and Conquer][Greedy][Tree][Depth-First Search][Binary Search Tree][Binary Tree],81.4%,Medium,0.38776553100876343
652,Find Duplicate Subtrees,[Hash Table][Tree][Depth-First Search][Binary Tree],59.3%,Medium,0.37827896780400755
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,0.3579518687400821
76,Minimum Window Substring,[Hash Table][String][Sliding Window],42.7%,Hard,0.35006632871837606
93,Restore IP Addresses,[String][Backtracking],49.4%,Medium,0.34967374847974886
622,Design Circular Queue,[Array][Linked List][Design][Queue],51.4%,Medium,0.3483066942682158
994,Rotting Oranges,[Array][Breadth-First Search][Matrix],53.9%,Medium,0.3483066942682158
1507,Reformat Date,[String],65.3%,Easy,0.3483066942682158
25,Reverse Nodes in k-Group,[Linked List][Recursion],58.1%,Hard,0.3416302106614813
921,Minimum Add to Make Parentheses Valid,[String][Stack][Greedy],75.1%,Medium,0.3393540829961018
1944,Number of Visible People in a Queue,[Array][Stack][Monotonic Stack],68.9%,Hard,0.33363937353690887
2089,Find Target Indices After Sorting Array,[Array][Binary Search][Sorting],76.0%,Easy,0.325422400434628
166,Fraction to Recurring Decimal,[Hash Table][Math][String],24.9%,Medium,0.322773392263051
51,N-Queens,[Array][Backtracking],67.7%,Hard,0.31790921708384473
300,Longest Increasing Subsequence,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0.31386011980487694
105,Construct Binary Tree from Preorder and Inorder Traversal,[Array][Hash Table][Divide and Conquer][Tree][Binary Tree],63.5%,Medium,0.31042452458504377
297,Serialize and Deserialize Binary Tree,[String][Tree][Depth-First Search][Breadth-First Search][Design][Binary Tree],56.5%,Hard,0.3095500590883616
282,Expression Add Operators,[Math][String][Backtracking],39.7%,Hard,0.30774963550259016
560,Subarray Sum Equals K,[Array][Hash Table][Prefix Sum],43.4%,Medium,0.30234351870145837
124,Binary Tree Maximum Path Sum,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,0.29700447772203814
72,Edit Distance,[String][Dynamic Programming],56.1%,Medium,0.2716364238085919
670,Maximum Swap,[Math][Greedy],48.5%,Medium,0.2527333714065298
993,Cousins in Binary Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],55.8%,Easy,0.24362208265775043
315,Count of Smaller Numbers After Self,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],42.4%,Hard,0.22695792338968046
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.2221278071943743
398,Random Pick Index,[Hash Table][Math][Reservoir Sampling][Randomized],63.0%,Medium,0.22067136216882066
1358,Number of Substrings Containing All Three Characters,[Hash Table][String][Sliding Window],66.0%,Medium,0.219455778235025
334,Increasing Triplet Subsequence,[Array][Greedy],40.2%,Medium,0.21635729162985073
33,Search in Rotated Sorted Array,[Array][Binary Search],40.5%,Medium,0.21335968746677383
739,Daily Temperatures,[Array][Stack][Monotonic Stack],65.9%,Medium,0.20909179785855941
713,Subarray Product Less Than K,[Array][Sliding Window],47.2%,Medium,0.20800057121164617
1901,Find a Peak Element II,[Array][Binary Search][Matrix],50.8%,Medium,0.20692071580732246
503,Next Greater Element II,[Array][Stack][Monotonic Stack],63.7%,Medium,0.1980128865886302
329,Longest Increasing Path in a Matrix,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,0.19585140902620227
417,Pacific Atlantic Water Flow,[Array][Depth-First Search][Breadth-First Search][Matrix],55.1%,Medium,0.1950000150537256
1631,Path With Minimum Effort,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],59.4%,Medium,0.19014428247516366
224,Basic Calculator,[Math][String][Stack][Recursion],43.2%,Hard,0.18269268316674286
215,Kth Largest Element in an Array,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,0.17292604490710992
414,Third Maximum Number,[Array][Sorting],34.5%,Easy,0.17022114985986725
126,Word Ladder II,[Hash Table][String][Backtracking][Breadth-First Search],27.3%,Hard,0.16635770580494058
486,Predict the Winner,[Array][Math][Dynamic Programming][Recursion][Game Theory],55.5%,Medium,0.16098937604759944
695,Max Area of Island,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],71.9%,Medium,0.15739217375142928
227,Basic Calculator II,[Math][String][Stack],43.4%,Medium,0.14708351260416586
40,Combination Sum II,[Array][Backtracking],54.2%,Medium,0.13887092939652312
47,Permutations II,[Array][Backtracking],58.9%,Medium,0.1349349016268428
79,Word Search,[Array][String][Backtracking][Matrix],41.4%,Medium,0.13341987882457434
402,Remove K Digits,[String][Stack][Greedy][Monotonic Stack],31.0%,Medium,0.12963106265293975
207,Course Schedule,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],46.6%,Medium,0.11735060321721236
221,Maximal Square,[Array][Dynamic Programming][Matrix],46.3%,Medium,0.11641035184441127
662,Maximum Width of Binary Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],42.9%,Medium,0.11641035184441127
2402,Meeting Rooms III,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.2%,Hard,0.11216225709564905
378,Kth Smallest Element in a Sorted Matrix,[Array][Binary Search][Sorting][Heap (Priority Queue)][Matrix],62.3%,Medium,0.10705399616415937
68,Text Justification,[Array][String][Simulation],42.7%,Hard,0.10480787679325
