No,Title,Tags,Acceptance,Difficulty,Frequency
815,Bus Routes,[Array][Hash Table][Breadth-First Search],48.2%,Hard,2.50493659445441
564,Find the Closest Palindrome,[Math][String],22.2%,Hard,1.9320451089181416
2468,Split Message Based on Limit,[String][Binary Search],43.5%,Hard,1.9317589695090702
1428,Leftmost Column with at Least a One,[Array][Binary Search][Matrix][Interactive],54.2%,Medium,1.7434408919572473
427,Construct Quad Tree,[Array][Divide and Conquer][Tree][Matrix],75.3%,Medium,1.6326947745983675
737,Sentence Similarity II,[Array][Hash Table][String][Depth-First Search][Breadth-First Search][Union Find],49.7%,Medium,1.4384801142904609
399,Evaluate Division,[Array][Depth-First Search][Breadth-First Search][Union Find][Graph][Shortest Path],61.5%,Medium,0.8655886287541927
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,[Array][Queue][Sliding Window][Heap (Priority Queue)][Ordered Set][Monotonic Queue],49.1%,Medium,0.7407752295491999
2251,Number of Flowers in Full Bloom,[Array][Hash Table][Binary Search][Sorting][Prefix Sum][Ordered Set],56.8%,Hard,0.41836851294407224
1631,Path With Minimum Effort,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],59.4%,Medium,0.3860812412871159
2115,Find All Possible Recipes from Given Supplies,[Array][Hash Table][String][Graph][Topological Sort],49.4%,Medium,0.36101334553733055
343,Integer Break,[Math][Dynamic Programming],60.2%,Medium,0.32423966818557853
1092,Shortest Common Supersequence,[String][Dynamic Programming],59.0%,Hard,0.27380672595816385
953,Verifying an Alien Dictionary,[Array][Hash Table][String],54.9%,Easy,0.2113090936672069
332,Reconstruct Itinerary,[Depth-First Search][Graph][Eulerian Circuit],43.3%,Hard,0.21106039931128698
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.20128774137451758
2610,Convert an Array Into a 2D Array With Conditions,[Array][Hash Table],87.3%,Medium,0.19574457712609533
212,Word Search II,[Array][String][Backtracking][Trie][Matrix],36.2%,Hard,0.17623598225838671
