No,Title,Tags,Acceptance,Difficulty,Frequency
1,Two Sum,[Array][Hash Table],52.10%,Easy,100%
2667,Create Hello World Function,,81.00%,Easy,99.45%
20,Valid Parentheses,[String][Stack],40.50%,Easy,98.90%
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.20%,Easy,98.78%
5,Longest Palindromic Substring,[String][Dynamic Programming],33.70%,Medium,98.23%
9,Palindrome Number,[Math],55.80%,Easy,97.89%
121,Best Time to Buy and Sell Stock,[Array][[Dynamic Programming],53.50%,Easy,97.34%
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.80%,Hard,96.79%
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.20%,Medium,96.42%
3,Longest Substring Without Repeating Characters,[Hash Table][String][Sliding Window],34.60%,Medium,96.19%
56,Merge Intervals,[Array][Sorting],47.10%,Medium,95.64%
314,Binary Tree Vertical Order Traversal,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],53.90%,Medium,95.08%
14,Longest Common Prefix,[String][Trie],42.50%,Easy,94.53%
4,Median of Two Sorted Arrays,[Array][Binary Search][Divide and Conquer],39.50%,Hard,94.12%
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.60%,Medium,94.05%
2,Add Two Numbers,[Linked List][Math][Recursion],42.40%,Medium,93.61%
1249,Minimum Remove to Make Valid Parentheses,[String][Stack],67.20%,Medium,93.06%
70,Climbing Stairs,[Math][Dynamic Programming][Memoization],52.80%,Easy,92.51%
1757,Recyclable and Low Fat Products,[Database],89.20%,Easy,92.29%
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.30%,Medium,91.77%
15,3Sum,[Array][Two Pointers][Sorting],34.30%,Medium,91.60%
1768,Merge Strings Alternately,[Two Pointers][String],79.50%,Easy,91.05%
1235,Maximum Profit in Job Scheduling,[Array][Binary Search][Dynamic Programming][Sorting],54.70%,Hard,90.50%
215,Kth Largest Element in an Array,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.80%,Medium,89.95%
412,Fizz Buzz,[Math][String][Simulation],71.80%,Easy,89.93%
11,Container With Most Water,[Array][Two Pointers][Greedy],55.00%,Medium,89.38%
408,Valid Word Abbreviation,[Two Pointers][String],35.50%,Easy,89.22%
13,Roman to Integer,[Hash Table][Math][String],60.80%,Easy,88.98%
2038,Remove Colored Pieces if Both Neighbors are the Same Color,[Math][String][Greddy][Game Theory],62.80%,Medium,88.96%
7,Reverse Integer,[Math],28.40%,Medium,88.81%
22,Generate Parentheses,[String][Dynamic Programming][Backtracking],74.30%,Medium,88.26%
680,Valid Palindrome II,[Two Pointers][String][Greedy],40.40%,Easy,88.24%
227,Basic Calculator II,[Math][String][Stack],43.40%,Medium,88.05%
2235,Add Two Integers,[Math],87.50%,Easy,88.03%
1570,Dot Product of Two Sparse Vectors,[Array][Hash Table][Two Pointers][Design],89.90%,Medium,87.51%
2781,Length of the Longest Valid Substring,[Array][Hash Table][String][Sliding Window],35.80%,Hard,87.36%
560,Subarray Sum Equals K,[Array][Hash Table][Prefix Sum],43.40%,Medium,87.30%
1650,Lowest Common Ancestor of a Binary Tree III,[Hash Table][Two Pointers][Tree][Binary Tree],79.20%,Medium,87.05%
339,Nested List Weight Sum,[Depth-First Search][Breadth-First Search],83.30%,Medium,87.00%
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.10%,Medium,86.88%
629,K Inverse Pairs Array,[Dynamic Programming],50.10%,Hard,86.33%
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.40%,Medium,85.78%
1291,Sequential Digits,[Enumeration],65.40%,Medium,85.27%
528,Random Pick with Weight,[Array][Math][Binary Search][Prefix Sum][Randomized],46.60%,Medium,84.82%
1041,Robot Bounded In Circle,[Math][String][Simulation],55.60%,Medium,84.62%
1531,String Compression II,[String][Dynamic Programming],52.80%,Hard,84.58%
343,Integer Break,[Math][Dynamic Programming],60.20%,Medium,84.03%
48,Rotate Image,[Array][Math][Matrix],73.90%,Medium,83.70%
169,Majority Element,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.70%,Easy,83.62%
217,Contains Duplicate,[Array][Hash Table][Sorting],61.50%,Easy,83.54%
1207,Unique Number of Occurrences,[Array][Hash Table],77.00%,Easy,83.52%
31,Next Permutation,[Array][Two Pointers],39.60%,Medium,82.96%
273,Integer to English Words,[Math][String][Recursion],30.50%,Hard,82.94%
1762,Buildings With an Ocean View,[Array][Stack][Monotonic Stack],79.40%,Medium,82.73%
53,Maximum Subarray,[Array][Divide and Conquer][Dynamic Programming],50.60%,Medium,82.63%
54,Spiral Matrix,[Array][Matrix][Simulation],49.00%,Medium,82.20%
880,Decoded String at Index,[String][Stack],36.40%,Medium,81.77%
21,Merge Two Sorted Lists,[Linked List][Recursion],64.00%,Easy,81.63%
2851,String Transformation,[Math][String][Dynamic Programming][String Matching],29.00%,Hard,81.62%
2402,Meeting Rooms III,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.10%,Hard,81.54%
279,Perfect Squares,[Math][Dynamic Programming][Breadth-First Search],54.70%,Medium,81.03%
661,Image Smoother,[Array][Matrix],67.10%,Easy,80.80%
1458,Max Dot Product of Two Subsequences,[Array][Dynamic Programming],62.50%,Hard,80.25%
50,"Pow(x, n)",[Math][Recursion],34.60%,Medium,80.22%
2468,Split Message Based on Limit,[String][Binary Search],43.60%,Hard,80.03%
935,Knight Dialer,[Dynamic Programming],59.90%,Medium,79.79%
316,Remove Duplicate Letters,[String][Stack][Greedy][Monotonic Stack],49.40%,Medium,79.75%
2513,Minimize the Maximum of Two Arrays,[Math][Binary Search][Number Theory],29.20%,Medium,79.69%
283,Move Zeroes,[Array][Two Pointers],61.60%,Easy,79.57%
780,Reaching Points,[Math],33.10%,Hard,79.53%
362,Design Hit Counter,[Array][Binary Search][Design][Queue][Data Stream],68.60%,Medium,79.19%
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.70%,Medium,79.17%
176,Second Highest Salary,[Database],40.00%,Medium,79.14%
128,Longest Consecutive Sequence,[Array][Hash Table][Union Find],47.30%,Medium,78.74%
1268,Search Suggestions System,[Array][String][Binary Search][Trie][Sorting][Heap (Priority Queue)],65.30%,Medium,78.71%
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,[Dynamic Programming][Prefix Sum],68.90%,Hard,78.56%
118,Pascal's Triangle,[Array][Dynamic Programming],73.90%,Easy,78.54%
1169,Invalid Transactions,[Array][Hash Table][String][Sorting],31.20%,Medium,78.47%
17,Letter Combinations of a Phone Number,[Hash Table][String][Backtracking],60.00%,Medium,78.46%
162,Find Peak Element,[Array][Binary Search],45.90%,Medium,78.45%
799,Champagne Tower,[Dynamic Programming],58.00%,Medium,78.03%
739,Daily Temperatures,[Array][Stack][Monotonic Stack],65.90%,Medium,78%
198,House Robber,[Array][Dynamic Programming],50.90%,Medium,77.88%
1287,Element Appearing More Than 25% In Sorted Array,[Array],61.10%,Easy,77.84%
875,Koko Eating Bananas,[Array][Binary Search],49.00%,Medium,77.83%
446,Arithmetic Slices II - Subsequence,[Array][Dynamic Programming],54.60%,Hard,77.58%
1481,Least Number of Unique Integers after K Removals,[Array][Hash Table][Greedy][Sorting][Counting],62.80%,Medium,77.57%
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.30%,Hard,77.39%
1347,Minimum Number of Steps to Make Two Strings Anagram,[Hash Table][String][Counting],82.00%,Medium,77.33%
68,Text Justification,[Array][String][Simulation],42.80%,Hard,77.30%
368,Largest Divisible Subset,[Array][Math][Dynamic Programming][Sorting],45.20%,Medium,77.25%
242,Valid Anagram,[Hash Table][String][Sorting],64.30%,Easy,77.23%
767,Reorganize String,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.50%,Medium,77.20%
2870,Minimum Number of Operations to Make Array Empty,[Array][Hash Table][Greedy][Counting],61.90%,Medium,77.03%
41,First Missing Positive,[Array][Hash Table],37.80%,Hard,76.91%
26,Remove Duplicates from Sorted Array,[Array][Two Pointers],55.10%,Easy,76.88%
847,Shortest Path Visiting All Nodes,[Dynamic Programming][Bit Manipulation][Breadth-First Search][Graph][Bitmask],65.60%,Hard,76.86%
387,First Unique Character in a String,[Hash Table][String][Queue][Counting],62.00%,Easy,76.82%
2877,Create a DataFrame from List,,80.70%,Easy,76.75%
36,Valid Sudoku,[Array][Hash Table][Matrix],59.40%,Medium,76.35%
