No,Title,Acceptance,Frequency,Hard,Medium,Array,Greedy,Matrix,Math,String,Recursion,Hash Table,Sorting
807,Max Increase to Keep City Skyline,86.1%,0.4169369316233372,0,1,1,1,1,0,0,0,0,0
273,Integer to English Words,30.5%,0.2256719976675684,1,0,0,0,0,1,1,1,0,0
49,Group Anagrams,68.2%,0.0344070637117997,0,1,1,0,0,0,1,0,1,1
