No,Title,Acceptance,Difficulty,Frequency,Array,Hash Table,Depth-First Search,Breadth-First Search,Dynamic Programming,Matrix,Binary Search
1036,Escape a Large Maze,34.9%,Hard,0,1,1,1,1,0,0,0
1162,As Far from Land as Possible,51.6%,Medium,0,1,0,0,1,1,1,0
2826,Sorting Three Groups,41.7%,Medium,0,1,0,0,0,1,0,1
