No,Title,Acceptance,Difficulty,Frequency,Array,Simulation,Math,Dynamic Programming,Prefix Sum,Breadth-First Search,Hash Table,Binary Search,Greedy,Heap (Priority Queue)
1524,Number of Sub-arrays With Odd Sum,43.5%,Medium,1.4544743550702814,1,0,1.0,1.0,1.0,,,,,
1654,Minimum Jumps to Reach Home,29.3%,Medium,1.282624098143622,1,0,,1.0,,1.0,,,,
1488,Avoid Flood in The City,27.0%,Medium,0.9039702474861144,1,0,,,,,1.0,1.0,1.0,1.0
1535,Find the Winner of an Array Game,57.2%,Medium,0.4519851237430572,1,1,,,,,,,,
