No,Title,Acceptance,Frequency,Easy,Hard,Medium,Hash Table,Design,String,Dynamic Programming,Linked List,Doubly-Linked List,Stack,Greedy,Monotonic Stack,Array,Sorting,Heap (Priority Queue),Two Pointers,Prefix Sum,Counting,Data Stream,Binary Search,Math,Geometry,Depth-First Search,Breadth-First Search,Matrix,Recursion,Tree,Binary Search Tree,Binary Tree,Union Find,Backtracking,Randomized,Divide and Conquer,Merge Sort,Queue,Graph,Shortest Path,Sliding Window,Monotonic Queue,Trie,Memoization,Simulation
1797,Design Authentication Manager,56.8%,0.955219752083562,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,Count Palindromic Subsequences,37.0%,0.8348824366220822,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,LFU Cache,44.0%,0.717419042969379,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,LRU Cache,42.2%,0.5853883182964201,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Remove Duplicate Letters,49.4%,0.5018899773269088,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,Break a Palindrome,51.8%,0.4865757423538663,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,Find Subsequence of Length K With the Largest Sum,43.3%,0.3545450176809074,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Meeting Rooms II,51.1%,0.3188804433076422,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,Pairs of Songs With Total Durations Divisible by 60,52.8%,0.3077496355025901,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,Logger Rate Limiter,75.8%,0.2545298651348804,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
