No,Title,Acceptance,Frequency,Easy,Hard,Medium,Math,String,Simulation,Hash Table,Array,Sorting,Heap (Priority Queue),Two Pointers,Dynamic Programming,Stack,Monotonic Stack,Queue,Counting,Binary Search,Number Theory,Recursion,Enumeration,Depth-First Search,Breadth-First Search,Divide and Conquer,Prefix Sum,Bit Manipulation,Matrix,Sliding Window,Monotonic Queue,Union Find,Linked List,Design,Hash Function,Doubly-Linked List,Greedy
1041,Robot Bounded In Circle,55.6%,3.3179612260168723,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,Reaching Points,33.1%,2.753346323148564,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Fraction to Recurring Decimal,24.9%,2.4490679364069003,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,High Five,74.7%,2.3917592212124537,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Trapping Rain Water,60.8%,1.9360941782030583,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,First Unique Character in a String,62.0%,1.37147927533475,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,Minimize the Maximum of Two Arrays,29.0%,1.2202573980904363,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,Reformat Date,65.3%,0.9808292530117262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823,Find the Winner of the Circular Game,78.2%,0.7293949709522863,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,Backspace String Compare,49.1%,0.6639286345608053,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,Longest Mountain in Array,40.3%,0.5543107357057295,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
