No,Title,Acceptance,Difficulty,Frequency,Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path,Array,Simulation,Binary Search,Sorting,Bit Manipulation,Matrix,Hash Table,String,Trie,Backtracking,Topological Sort
755,Pour Water,46.7%,Medium,0.8359080556416618,0,0,0,0,0,0,1.0,1.0,,,,,,,,,
1235,Maximum Profit in Job Scheduling,54.8%,Hard,0.7590490501160502,1,0,0,0,0,0,1.0,,1.0,1.0,,,,,,,
864,Shortest Path to Get All Keys,53.8%,Hard,0.6837714751861048,0,0,1,0,0,0,1.0,,,,1.0,1.0,,,,,
336,Palindrome Pairs,35.2%,Hard,0.6088506050063158,0,0,0,0,0,0,1.0,,,,,,1.0,1.0,1.0,,
39,Combination Sum,71.0%,Medium,0.4153755740404643,0,0,0,0,0,0,1.0,,,,,,,,,1.0,
269,Alien Dictionary,35.7%,Hard,0.2219005430746127,0,1,1,1,0,0,1.0,,,,,,,1.0,,,1.0
787,Cheapest Flights Within K Stops,39.2%,Medium,0.0475148756075131,1,1,1,1,1,1,,,,,,,,,,,
