No,Title,Acceptance,Frequency,Medium,Stack,Tree,Depth-First Search,Design,Queue,Iterator,Array,Dynamic Programming,Backtracking
341,Flatten Nested List Iterator,64.3%,0.0413405047060254,1,1,1,1,1,1,1,0,0,0
494,Target Sum,46.6%,0.0206702523530127,1,0,0,0,0,0,0,1,1,1
