No,Title,Acceptance,Frequency,Hard,Medium,Array,Simulation,Interactive,Design,Matrix,Prefix Sum,Hash Table,String,Binary Search,Math,Depth-First Search,Breadth-First Search,Sliding Window,Linked List,Divide and Conquer,Tree,Binary Search Tree,Binary Tree
158,Read N Characters Given read4 II - Call Multiple Times,42.1%,1.0327770308024722,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Range Sum Query 2D - Immutable,54.2%,0.6737290947028437,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
981,Time Based Key-Value Store,49.6%,0.3146811586032152,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
365,Water and Jug Problem,39.8%,0.2682639865946793,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
76,Minimum Window Substring,42.7%,0.1286457816679762,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
109,Convert Sorted List to Binary Search Tree,61.6%,0.10648348040245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
994,Rotting Oranges,53.9%,0.0646777096686609,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
